A	B
LTBP1	RPS6KA6
CA11	RPS6KA6
REEP1	RPS6KA6
TSPOAP1	SPEG
TBXA2R	SPEG
HSD17B6	SPEG
LTBP1	SPEG
CYFIP2	SPEG
DSG2	LNX1
ATP2B4	ALDH3A2
RRM2B	MPP5
LIMA1	RHOBTB1
AK2	HSD17B10
B4GALT7	HSD17B10
ELOVL1	HSD17B10
MGST1	TRHDE
PKM	P4HA2
STAB1	FCGR2B
KCNQ1	FCGR2B
TBXAS1	FCGR2B
TMEM98	CRMP1
IFFO1	CRMP1
XYLT2	CRMP1
TBC1D22B	NDE1
TESK2	NDE1
MARK2	NDE1
KLHL13	MRVI1
TSPOAP1	MRVI1
CYFIP2	MRVI1
PFKP	MRVI1
HSPA5	PVR
CYB561	MCM2
CTDP1	SELENOO
EPN1	SELENOO
ATP2C2	TP63
SOAT1	IGF2BP2
TGFBR3	IGF2BP2
WIPI1	IGF2BP2
NIPAL3	ST6GAL1
LNX1	ST6GAL1
PRKCH	FRY
EPHA3	FRY
FOXC1	FRY
INTS13	NSF
KLHL13	GLI2
TSPOAP1	GLI2
EHD3	GLI2
MTMR11	GLI2
BTN3A1	GLI2
ROGDI	GLI2
USE1	MRPS34
KLHL13	NOTCH3
ITGA3	NOTCH3
VCL	NOTCH3
EPHA3	NOTCH3
NRIP2	NOTCH3
TSPOAP1	ATP2A3
CA11	ATP2A3
PKM	CA12
ELOVL5	MGLL
MDH1	MGLL
ADGRL1	MGLL
GUCY1B1	NTN4
CCDC88C	SCARF1
MBTPS2	LMAN1
RRP12	ENO1
ATP1B3	ENO1
MRPS34	MYDGF
RHBDF1	ARHGEF10L
WDR1	ARHGEF10L
PRKAR2B	TTC38
ARSD	TTC38
ADIPOR2	TTC38
AASS	TTC38
MGST1	TTC38
ST3GAL1	TTC38
AIFM2	TTC38
RETSAT	TTC38
PTGER3	TTC38
HEBP2	TTC38
ATP9A	TTC38
CS	TTC38
HIPK2	TTC38
RPS6KA2	TTC38
RNF14	ACAT1
TNK2	GRAMD4
ARHGAP6	RASAL2
RPUSD1	VPS9D1
BAK1	VPS9D1
PVR	FOSL2
CYB561	FSCN1
GLI2	FSCN1
PFKP	ACTB
GGCT	MOCOS
PTGER3	MOCOS
HEBP2	MOCOS
CASP10	ARHGAP15
ETV1	ARHGAP15
HGF	ARHGAP15
HDAC9	ARHGAP15
GUCY1B1	ARHGAP15
NOTCH3	ARHGAP15
ARSD	UNG
BRCA1	FMO4
PLD1	FMO4
LIMS2	PLXNA2
LPAR2	SPAG5
AASS	ACACB
MGST1	ACACB
MLXIPL	ACACB
AIFM2	ACACB
RETSAT	ACACB
PTGER3	ACACB
HEBP2	ACACB
GYG2	ACACB
PKP2	ACACB
HIPK2	ACACB
TTC38	ACACB
MOCOS	ACACB
ADGRL1	MCAM
BICRA	ARHGEF1
BTK	STXBP2
TACC3	STXBP2
RNASET2	STXBP2
GRN	STXBP2
MSR1	STXBP2
KCNAB2	STXBP2
DAPP1	STXBP2
HIVEP2	NFKB2
PLEKHO1	NFKB2
RAI14	NFKB2
BCAR1	NFKB2
PFKP	NFKB2
KLHL13	PPP1R12B
TSPOAP1	PPP1R12B
TBXA2R	PPP1R12B
LTBP1	PPP1R12B
CYFIP2	PPP1R12B
TEAD3	IL4R
HIVEP2	IL4R
SLC4A7	IL4R
RAI14	IL4R
BCAR1	IL4R
PFKP	IL4R
PVR	IL4R
KLHL13	PAK3
TSPOAP1	PAK3
TMEM98	PAK3
MRC2	PAK3
MTMR11	PAK3
CNTN1	PAK3
