A	B
RB1CC1	EVI5
EIPR1	STOML1
WDR54	PKM
MRC2	PKM
SLC25A5	DNTTIP2
RAD52	TRO
RBM6	TRO
TSPOAP1	TRO
ARHGAP44	TRO
LUC7L	TRO
NISCH	TRO
AKAP8L	TRO
TNK2	TRO
RPL26L1	RRP15
DCN	NAV3
ARHGAP33	ROGDI
CDKL5	ROCK1
ICA1	HYAL2
MCUB	HYAL2
GAS7	HYAL2
PRKCH	HYAL2
FAR2	HYAL2
CDK17	RASSF1
CYBA	IFI35
OSBPL7	PLEKHH3
RHBDF1	PLEKHH3
AKAP8L	PLEKHH3
OGFR	PLEKHH3
CACNB1	PLEKHH3
CDKL5	MEF2A
CD9	MEF2A
LTBP1	MEF2A
ABHD5	ACSL4
CDKL5	INPP5A
CYTH3	INPP5A
RHOBTB2	INPP5A
RAI14	INPP5A
FOXN3	INPP5A
MPC1	INPP5A
SLC25A5	FTSJ1
MCUB	ATP11A
ZNF195	ATP11A
GAS7	ATP11A
FYN	ATP11A
ABHD5	ATP11A
PRKCH	ATP11A
MFAP3	ATP11A
SOAT1	ATP11A
CASP8	ATP11A
FAR2	ATP11A
HYAL2	ATP11A
NDC1	POLR1A
POMT2	TTC7A
PRICKLE3	TTC7A
GATB	SRBD1
ARHGAP33	RASGRP2
ROGDI	RASGRP2
TBC1D22A	SIRT2
OAT	ERLEC1
QPCTL	PPP2R5B
ARHGAP33	PYGM
TSPOAP1	PYGM
NFIX	PYGM
SEMA3B	PYGM
ROGDI	PYGM
ICA1	ADGRF5
CASP10	ADGRF5
CASP10	KCNAB2
PLXND1	KCNAB2
ALDH3B1	KCNAB2
TACC3	KCNAB2
TNFRSF1B	KCNAB2
GRN	KCNAB2
CAPG	KCNAB2
KCNQ1	KCNAB2
BCAT1	KCNAB2
CASP8	KCNAB2
FAR2	KCNAB2
RNASET2	CLEC2D
NEO1	MAOB
MGST1	TGFBR3
PGM3	MAPK6
NFIX	GNB5
CALCOCO1	GNB5
ATP9A	GNB5
PPP1R12A	GNB5
LIMCH1	GNB5
POLD1	HDHD5
TTC19	UFD1
ST7	PFN2
TMEM159	PFN2
VIM	PFN2
TIMP2	PFN2
HDAC9	PFN2
LTBP1	PFN2
FOXC1	PFN2
LIMCH1	PFN2
NEO1	PFN2
CDKL5	PTPN3
KIF1B	PTPN3
GAS7	FGF10
SEMA3G	FGF10
COX15	TMEM260
SARM1	SMG6
TNFRSF12A	FSTL3
CREBBP	DGCR2
MAN2B2	DGCR2
ERCC1	RNF126
POLR3E	RNF126
QPCTL	MNT
BICRA	MNT
CDK17	JMJD6
RASSF1	JMJD6
QPCTL	POLB
CHPF2	WIPI1
EXTL3	NDST1
CCDC28A	TESK2
CA11	TESK2
VCL	PTPN21
FOXN3	PTPN21
ATP9A	PTPN21
PPP1R12A	PTPN21
LIMCH1	PTPN21
MYLK	PTPN21
EPN1	TCOF1
ICA1	OSBPL3
CASP10	OSBPL3
CD4	OSBPL3
BTK	OSBPL3
TYROBP	OSBPL3
ALOX5	OSBPL3
TACC3	OSBPL3
WAS	OSBPL3
PRKCH	OSBPL3
TNFRSF1B	OSBPL3
LCP2	OSBPL3
FAR2	OSBPL3
CD84	OSBPL3
SPI1	OSBPL3
KCNAB2	OSBPL3
CELF2	ATP2B1
SZRD1	NCK2
MCUB	MGAT4A
SOAT1	MGAT4A
CASP8	MGAT4A
ATP11A	MGAT4A
PSMB1	RPL31
RNF216	WDR1
WWC3	WDR1
ASB1	WDR1
CDKL5	ARHGAP10
FBXO42	ARHGAP10
PDK3	ARHGAP10
ZNF275	RPS6KA2
GCLC	ING3
WWC3	SEL1L
POMT2	TCF3
PNPLA6	TCF3
ERCC1	DAZAP1
LRP6	HLTF
UFD1	FAM50A
BTBD1	RDH11
VASH1	ADGRL1
ITGA3	ACTN1
PKD1	ACTN1
RAI14	ACTN1
TBC1D22B	ACTN1
ANGEL1	ZFYVE26
UPF1	EPN2
TCF3	EPN2
PIGV	PTPN18
IFT80	PTPN18
ARHGAP33	LIMS2
ST7	LIMS2
VIM	LIMS2
ARHGAP33	SPEG
MTMR11	SPEG
RASGRP2	SPEG
NTHL1	ALDH3A2
IDS	AFF4
VEZT	AFF4
ANKRD44	RHOBTB1
PSME4	CHFR
GDE1	NFATC3
CASP10	STK10
CYB561	STK10
CD4	STK10
TACC3	STK10
PRKCH	STK10
BAK1	STK10
KCNQ1	STK10
SOAT1	STK10
TBXAS1	STK10
LZTS1	STK10
FAR2	STK10
HYAL2	STK10
ATP11A	STK10
OSBPL3	STK10
MGAT4A	STK10
CASP10	ACAP1
RNASET2	ACAP1
BTN3A1	ACAP1
PARP12	ACAP1
OGFR	ACAP1
RBM6	CRMP1
TSPAN9	CRMP1
AKAP8L	CRMP1
RUFY3	CRMP1
TNK2	CRMP1
MAN2B2	EVC
LIMCH1	EVC
GOLGA5	DERL2
CDKL5	MRVI1
CYTH3	MRVI1
RAI14	MRVI1
MAP4	MRVI1
KIF1B	MRVI1
MEF2A	MRVI1
PTPN3	MRVI1
SMARCD1	AP1M1
ERCC1	PVR
TOMM34	PVR
ALDH18A1	PVR
AKR7A2	XRCC1
CASP10	SCARB1
XRCC1	SDHA
RAI14	PPP2R3A
MAP4	PPP2R3A
FOXN3	PPP2R3A
PPP1R12A	PPP2R3A
MYLK	PPP2R3A
TBC1D1	PPP2R3A
RNF216	FERMT2
TRIO	FERMT2
RAI14	FERMT2
FOXN3	FERMT2
KIF1B	FERMT2
PTPN21	FERMT2
PPP2R3A	FERMT2
MCUB	IGF2BP2
CDKL5	FRY
RAI14	FRY
MPC1	FRY
PPP2R5B	FRY
PTPN3	FRY
RANBP9	PICALM
PGM3	PICALM
TOMM34	PICALM
PI4K2B	PICALM
MSANTD3	PICALM
BTBD7	CLASP1
TCF3	MRPS34
ITGA3	NOTCH3
BAZ1B	NCBP3
AQR	NCBP3
TMEM176A	SCARF1
ICA1	SCARF1
FYN	SCARF1
CCDC88C	SCARF1
DEF6	SCARF1
TLL1	SCARF1
KIF26A	SCARF1
STK10	SCARF1
EEF1AKNMT	HACD3
C12orf4	HACD3
YTHDC2	ZZEF1
ZXDC	ZZEF1
TOMM34	ENO1
PVR	ENO1
ERCC1	MYDGF
HOMER3	MYDGF
NUCB2	MYDGF
RAD52	ANO8
OSBPL7	ANO8
ZNF207	TUBE1
AKAP8L	TUBE1
ARHGAP33	ARHGEF10L
TBXA2R	ARHGEF10L
MTMR11	ARHGEF10L
TNK2	ARHGEF10L
TRO	ARHGEF10L
RASGRP2	ARHGEF10L
PYGM	ARHGEF10L
LIMS2	ARHGEF10L
CRMP1	ARHGEF10L
MDH1	ACTR6
NDUFAB1	SRI
MDH1	SRI
HPF1	SRI
GDE1	EIF4G3
HACD3	EIF4G3
FLT4	SEMA3A
CASP10	GRAMD4
PLXND1	GRAMD4
TACC3	GRAMD4
NR1H3	GRAMD4
TNFRSF1B	GRAMD4
GRN	GRAMD4
CYBA	GRAMD4
GALC	GRAMD4
ABCA7	GRAMD4
KCNAB2	GRAMD4
STK10	GRAMD4
CASP10	CELSR1
ITGAL	CELSR1
PRKCH	CELSR1
OSBPL3	CELSR1
SCARF1	CELSR1
WDR3	TIMM21
CTSA	VPS9D1
ZCCHC8	ZNF37A
TTC17	MARK3
CDKL5	FRYL
KIF1B	FRYL
RASAL2	FRYL
INPP5A	ACTB
POLR2B	DLG1
CUL1	DLG1
PHTF2	BCAP29
CDKL5	BCAP29
CD9	BCAP29
PI4K2B	BCAP29
RAI14	BCAP29
KIF1B	BCAP29
MPC1	BCAP29
TBC1D1	BCAP29
MEF2A	BCAP29
INPP5A	BCAP29
ERLEC1	BCAP29
MRVI1	BCAP29
FERMT2	BCAP29
FRYL	BCAP29
CFLAR	SEC31B
MBTD1	SEC31B
ATXN3	SEC31B
CASP10	ARHGAP15
RNASET2	ARHGAP15
ARAP2	ARHGAP15
ERCC1	REXO2
TOMM34	REXO2
RCN1	REXO2
ALDH18A1	REXO2
EIF2B3	REXO2
MAPK6	RBM7
CFLAR	BAZ2A
SEC61A2	BAZ2A
NDUFS1	KLHL20
PTCD2	SLC46A1
SEMA3F	PLXNA2
IDS	ANKRD13A
CDK17	TRAF4
CASP10	PAG1
DEF6	PAG1
TYMP	PAG1
TNFRSF1B	PAG1
LCP2	PAG1
ARAP2	PAG1
PRDM1	PAG1
ABCA7	PAG1
KCNAB2	PAG1
OSBPL3	PAG1
COX15	GPATCH1
VEZT	NT5C2
PPP1R12A	NT5C2
NEDD4	NT5C2
CDKL5	MCAM
PKD1	MCAM
RHOBTB2	MCAM
CYFIP2	MCAM
WDR1	MCAM
ST7	GPC4
TIMP2	GPC4
DKK3	GPC4
LIMCH1	GPC4
NEO1	GPC4
MAOB	GPC4
PFN2	GPC4
ICA1	MBNL3
CASP10	MBNL3
MCUB	MBNL3
BTK	MBNL3
TACC3	MBNL3
WAS	MBNL3
DEF6	MBNL3
PRKCH	MBNL3
LCP2	MBNL3
ARAP2	MBNL3
GALC	MBNL3
FAR2	MBNL3
KCNAB2	MBNL3
OSBPL3	MBNL3
SCARF1	MBNL3
MTA3	XAB2
ACAA1	XAB2
SDHA	XAB2
CASP10	STXBP2
MCUB	STXBP2
TRAF3IP3	STXBP2
CD4	STXBP2
BTK	STXBP2
TACC3	STXBP2
SLC11A1	STXBP2
TYMP	STXBP2
TNFRSF1B	STXBP2
MSR1	STXBP2
CD84	STXBP2
KCNAB2	STXBP2
STK10	STXBP2
PAG1	STXBP2
ARNTL2	DGKD
LMCD1	DGKD
SNAPC1	NFKB2
CDK17	NFKB2
JMJD6	NFKB2
CDKL5	PPP1R12B
RAI14	PPP1R12B
SEL1L	DNAJC10
TFPI	IL4R
RRP12	IL4R
TRAF3IP2	IL4R
DGKA	IL4R
ATP1B3	IL4R
MEF2A	PAK3
LAS1L	SNRPA
DVL2	SNRPA
AKAP8L	SNRPA
DTNBP1	SNRPA
FBXW11	DYNC1I2
TMEM176A	APBB1IP
MCUB	APBB1IP
GAS7	APBB1IP
TACC3	APBB1IP
DEF6	APBB1IP
KCNQ1	APBB1IP
FAR2	APBB1IP
OSBPL3	APBB1IP
MBNL3	APBB1IP
MAP3K14	LRCH4
IFFO1	LRCH4
SELENOO	LRCH4
VPS9D1	LRCH4
YIPF1	POLD3
GRN	GPR137B
HEXB	GPR137B
SOAT1	GPR137B
CTSA	GPR137B
IDS	FGFR1
MAP4	FGFR1
PPP2R5B	FGFR1
ANKRD13A	FGFR1
NAV3	FBLN1
CDKL5	ITGA8
FHL1	ITGA8
LTBP1	ITGA8
FOXC1	ITGA8
LIMCH1	ITGA8
NEO1	ITGA8
INPP5A	ITGA8
PFN2	ITGA8
ARHGAP10	ITGA8
MCAM	ITGA8
GPC4	ITGA8
PPP1R12B	ITGA8
CDKL5	MAP2
SAMD4A	MAP2
RAI14	MAP2
FSTL3	MAP2
UBA6	PIAS2
FAM214A	MCCC1
UNKL	MCCC1
ZNF195	ACER3
DERA	ACER3
ATP11A	ACER3
MGAT4A	ACER3
CHFR	ACER3
SPRTN	TIGAR
XRCC1	TULP3
SDHA	TULP3
CD9	SYNJ2
SLC4A7	SYNJ2
BCAR1	SYNJ2
FNIP2	SYNJ2
SLK	PPP2R5C
CLPTM1L	GNB1
PHKA2	MLLT10
HLTF	MLLT10
C6	ADCYAP1R1
PHF7	TNRC6C
TUBG2	TNRC6C
ZNF76	TNRC6C
PIAS2	TNRC6C
THAP3	CBFA2T2
ADSS2	ITCH
MTMR11	MYH7B
CFLAR	THOC1
CLCN6	THOC1
TUBG2	THOC1
LIMA1	THOC1
USP36	THOC1
FGR	SLC1A3
CD38	SLC1A3
STAB1	SLC1A3
WAS	SLC1A3
