A	B
FRY	MEF2C
DCN	STK17B
ARHGAP6	STK17B
TGFBR3	STK17B
CARMIL1	STK17B
ANKRD44	CDC14B
OPHN1	CDC14B
BAK1	JMJD4
CLEC16A	JMJD4
CX3CL1	ATP8B1
MYLK	ATP8B1
MAST4	ATP8B1
MRVI1	ATP8B1
NOTCH3	ATP8B1
ENO1	BZW1
ADAM22	PGR
NFIX	PGR
CDON	PGR
RPS6KA6	PGR
RHOBTB1	PGR
MAP2	PGR
ABCB4	C1QTNF3
HDAC9	C1QTNF3
RHOBTB1	C1QTNF3
HIVEP2	EPB41L3
ACSL4	EPB41L3
ALPK1	EPB41L3
CTTNBP2	COBLL1
FMO1	SERTAD4
MRC2	SERTAD4
CDON	SERTAD4
TP63	SERTAD4
PPP1R12B	SERTAD4
CAPN6	SERTAD4
TARBP1	TRAF5
INPP5A	NFE2L1
MCCC1	NFE2L1
DAPK2	SEMA5B
TSPAN32	SEMA5B
WSCD2	SEMA5B
PPP1R12B	SEMA5B
MGLL	ITGB5
BRCA1	XPO1
ABCC8	TRPM3
CD22	TRPM3
LRRC7	TRPM3
FUT8	TRPM3
DEPDC1B	TRPM3
COL9A2	TRPM3
NRIP2	TRPM3
NAV3	TRPM3
SDK2	TRPM3
ST6GALNAC2	TRPM3
RAP1GAP	TRPM3
NAALAD2	TRPM3
AP2S1	RPS5
NDST1	FAT1
ALDH18A1	FAM234B
PPP1R12B	COL16A1
MOXD1	COL16A1
SOX8	EFR3B
SEMA3B	EFR3B
CHDH	EFR3B
PLEKHB1	EFR3B
GRAMD1B	EFR3B
LRRC7	EFR3B
CDH1	EFR3B
NRIP2	EFR3B
CAMK2B	EFR3B
PTPRU	EFR3B
LIMCH1	EFR3B
BCAS1	EFR3B
SDK2	EFR3B
SPTB	EFR3B
SPAG5	EFR3B
CDH7	EFR3B
TRPM3	EFR3B
NIPAL3	KIF3C
SOX8	KIF3C
TMEM132A	KIF3C
GAS7	KIF3C
CHDH	KIF3C
PLEKHB1	KIF3C
GRAMD1B	KIF3C
RTN4R	KIF3C
GPM6B	KIF3C
NRIP2	KIF3C
IL17RB	KIF3C
PTPRU	KIF3C
LIMCH1	KIF3C
SLC12A2	KIF3C
BCAS1	KIF3C
TESK2	KIF3C
GPR137B	KIF3C
EFR3B	KIF3C
TLL1	MECOM
ELP1	HACE1
PLEKHB1	AKR1B1
NRIP2	AKR1B1
LIMCH1	AKR1B1
SPAG5	AKR1B1
EFR3B	AKR1B1
PNPLA6	POMGNT1
