A	B
TMSB10	LCP2
ADSS2	TRIT1
COPZ2	CUL7
LRRC23	CUL7
MRI1	CUL7
FARP2	CTNNA1
RAD52	PHKA2
CCDC28A	PHKA2
NCAPH2	PHKA2
ZFYVE16	PHKA2
MCUB	EPHA3
TMEM98	EPHA3
GAS7	EPHA3
MRC2	EPHA3
LAS1L	OFD1
GEMIN8	OFD1
CASP10	PREX2
ELOVL5	PREX2
WWTR1	PREX2
HGF	PREX2
FAS	PREX2
RAI14	PREX2
NDUFAF7	WDR37
MAP4K3	YTHDC2
MBTPS2	YTHDC2
ZFYVE16	YTHDC2
MNAT1	CTPS2
ZFYVE16	CTPS2
PHKA2	CTPS2
VPS50	ATP6V1H
AP2B1	ATP6V1H
NUDCD3	ATP6V1H
MNAT1	ATP6V1H
UBR2	ATP6V1H
SCYL3	POLR2B
KRIT1	POLR2B
ALS2	POLR2B
NUB1	POLR2B
ZMYND11	POLR2B
AGPS	POLR2B
VEZT	POLR2B
ZZZ3	POLR2B
PSMA4	POLR2B
WWTR1	ARAP2
ST7L	TPR
ZZZ3	TPR
NSUN2	TPR
RHBDD2	KIAA0556
CDC27	C12orf4
STRAP	C12orf4
SLC25A13	SCML1
ZDHHC6	GOPC
ARID4A	GOPC
BOD1L1	GOPC
BAD	TSPAN17
POLR2J	TSPAN17
MSL3	TSPAN17
TSR3	TSPAN17
RNF10	TSPAN17
IFNGR1	NOP16
TMEM98	CC2D2A
CYB561	CC2D2A
RNASET2	CC2D2A
AGPAT4	CC2D2A
BTN3A1	CC2D2A
TUBG2	CC2D2A
EPHA3	CC2D2A
SEC63	ZNF800
IFNGR1	ZNF800
ADSS2	ZNF800
SPAG9	SNX29
MGST1	LMO3
VIM	LMO3
IBTK	MRPS10
GDE1	MRPS10
DNAJC11	MRPS10
SLC30A9	MRPS10
RNF10	MRPS10
RRAGD	MRPS10
MIPEP	MRPS10
EIPR1	MRPS10
PEX3	MRPS10
STAU2	MRPS10
HEATR5B	RSF1
ATP2C1	RSF1
NUP160	RSF1
TBC1D23	RSF1
FBXO42	RSF1
ABHD5	VPS13D
PHF20	VPS13D
SPAG9	CELF2
LAP3	FAM120A
STRAP	FAM120A
VRK2	FAM120A
GDE1	R3HDM1
EXTL3	R3HDM1
IDS	VAMP3
UFL1	VAMP3
PEX3	VAMP3
GOPC	VAMP3
SLC25A5	RCN1
PGM3	RCN1
IFNGR1	RCN1
ZNF263	RFC2
PGM3	RFC2
RANBP9	ARID1B
RNF216	ARID1B
RABEP1	ARID1B
CUL3	ARID1B
SNX29	ARID1B
M6PR	CLPTM1L
SEC63	CLPTM1L
LSG1	CLPTM1L
PNPLA6	PPP1R3F
SEC63	HEXB
NIPAL3	PTCD2
CROT	PTCD2
PNPLA4	PTCD2
LARS2	PTCD2
BRCA1	PTCD2
POLR3B	PTCD2
EIPR1	PTCD2
FAM136A	PTCD2
STAU2	PTCD2
PARP3	PTCD2
SCYL3	JKAMP
KRIT1	JKAMP
SNX11	JKAMP
RALA	JKAMP
RFC1	JKAMP
TMEM98	DKK3
PHLDB1	DKK3
CC2D2A	DKK3
BAD	MCUR1
POLR2J	MCUR1
MSL3	MCUR1
EXTL3	MCUR1
RNF10	MCUR1
GLRX2	MCUR1
RRAGD	MCUR1
TSPAN17	MCUR1
CASP10	LIMA1
ARHGAP33	LIMA1
ST7	LIMA1
TMEM98	LIMA1
ADAM22	LIMA1
IFFO1	LIMA1
PHLDB1	LIMA1
ADGRA2	LIMA1
RNASET2	LIMA1
AGPAT4	LIMA1
BTN3A1	LIMA1
SH3YL1	LIMA1
EPHA3	LIMA1
CC2D2A	LIMA1
MRI1	LETMD1
CUL7	LETMD1
CELF2	LETMD1
POLDIP2	MAPK9
RPAP3	MAPK9
RALA	MAPK9
UBR2	MAPK9
RRAGD	MAPK9
PEX3	MAPK9
MRPS10	MAPK9
ZDHHC6	FAM160A2
BRD9	FAM160A2
RANBP3	FAM160A2
ZRANB1	PIK3CB
POLDIP2	HEBP2
POLR2J	HEBP2
CCDC124	HEBP2
TSR3	HEBP2
RPS20	HEBP2
GABARAPL2	HEBP2
AP2S1	HEBP2
TSPAN17	HEBP2
MKS1	MPHOSPH9
UBR2	MPHOSPH9
ZFYVE16	MPHOSPH9
CFH	PLEKHA5
LASP1	PLEKHA5
MCUB	PLEKHA5
TMEM98	PLEKHA5
ARSD	PLEKHA5
DCN	PLEKHA5
WWTR1	PLEKHA5
ADGRA2	PLEKHA5
VIM	PLEKHA5
FAS	PLEKHA5
CD44	PLEKHA5
AGPAT4	PLEKHA5
TIMP2	PLEKHA5
TUBG2	PLEKHA5
RAI14	PLEKHA5
EPHA3	PLEKHA5
PREX2	PLEKHA5
CC2D2A	PLEKHA5
DKK3	PLEKHA5
LIMA1	PLEKHA5
GGCT	SIKE1
FUCA2	MSMO1
ZNF195	TTC17
AQR	TTC17
ERP44	TTC17
SEC63	TTC17
NUP160	TTC17
ARF5	AKR7A2
DNASE1L1	AKR7A2
NCAPH2	AKR7A2
PHKA2	AKR7A2
LIG3	MRTO4
TTC19	MRTO4
WIZ	MRTO4
ZNF800	MRTO4
PIGQ	USE1
LRRC23	USE1
RNH1	USE1
AP2S1	USE1
HEBP2	USE1
ARHGAP33	NRIP2
ADGRA2	NRIP2
EHD2	NRIP2
CC2D2A	NRIP2
LIMA1	NRIP2
ARSD	LAMA3
FYN	LAMA3
VIM	LAMA3
ENPP4	AP5M1
HCCS	AP5M1
IBTK	AP5M1
MIPEP	AP5M1
FAM136A	AP5M1
ATP2C1	ANAPC4
CALCOCO1	THRAP3
RB1CC1	THRAP3
ARID1B	THRAP3
NDUFAB1	PHPT1
TSR3	PHPT1
UQCRC1	PHPT1
MYCBP2	ARID4B
ZCCHC8	ARID4B
NUB1	SDCCAG8
NUP160	SDCCAG8
PHTF2	KIF1B
R3HDM1	KIF1B
ELOVL5	FOXC1
TIMP2	FOXC1
ELAC2	TBC1D22A
CCDC124	TBC1D22A
PIGQ	TBC1D22A
PSMB1	TBC1D22A
LYPLA2	TBC1D22A
RTF2	TBC1D22A
RNH1	TBC1D22A
RPL26L1	TBC1D22A
USE1	TBC1D22A
ANKIB1	GALC
VPS50	GALC
RFC1	GALC
ZNF263	NOP58
NADK	NOP58
BAD	SZRD1
MSL3	SZRD1
RNF10	SZRD1
TSPAN17	SZRD1
MCUR1	SZRD1
SCYL3	CUL1
RNF216	CUL1
YAF2	CUL1
VRK2	CUL1
VEZT	CUL1
CLEC16A	CUL1
PSMA4	CUL1
AP2B1	FAM114A2
VPS41	FAM114A2
UBR2	FAM114A2
PEX3	FAM114A2
GABARAPL2	FAM114A2
RPL26L1	FAM114A2
ATP6V1H	FAM114A2
GOPC	FAM114A2
VAMP3	FAM114A2
RPAP3	TAB2
KIAA0100	TAB2
UBE3C	TAB2
SPAST	TAB2
RABEP1	TAB2
CUL3	TAB2
DCUN1D1	TAB2
VPS13D	TAB2
RTF2	GINM1
FAM13B	EIF2AK2
FUT8	EIF2AK2
SLC25A13	USP36
ZNF263	USP36
FARP2	USP36
NADK	USP36
PTBP1	USP36
CLK1	USP36
RNF19A	USP36
RFC2	USP36
RANBP9	KMT2C
SPAST	KMT2C
RABEP1	KMT2C
FBXO42	KMT2C
MYCBP2	PUM2
ZNF207	PUM2
ZCCHC8	PUM2
TTC17	PUM2
COPZ2	MRPL43
REX1BD	MRPL43
PPP5C	MRPL43
GABARAPL2	MRPL43
AP2S1	MRPL43
HEBP2	MRPL43
VPS50	HPF1
VPS41	HPF1
PEX3	HPF1
M6PR	ZFR
SPAG9	ZFR
AGPS	ZFR
VRK2	ZFR
ARHGAP33	TRAF1
MKS1	TRAF1
XYLT2	TRAF1
RNASET2	TRAF1
BTN3A1	TRAF1
TUBG2	TRAF1
PHKA2	TRAF1
CTPS2	TRAF1
MSMO1	TRAF1
SCYL3	RC3H2
SEC62	RC3H2
RNF14	RC3H2
AGPS	RC3H2
SLC39A9	RC3H2
MFAP3	RC3H2
METTL1	TRAF3IP2
CYTH3	DCBLD2
IDS	DCBLD2
ZFYVE16	DCBLD2
EIF2AK2	DCBLD2
REV3L	SOAT1
KDM1A	GDI2
LIG3	GDI2
SPAG9	GDI2
VRK2	GDI2
ABCF2	GDI2
ZZZ3	GDI2
NSUN2	GDI2
MTREX	GDI2
LSG1	GDI2
TPR	GDI2
KRIT1	ATG5
GLT8D1	ATG5
STRAP	ATG5
KPNA6	ATG5
POLR2B	ATG5
LYPLA2	PITHD1
ARID4A	MTA3
GALC	MTA3
FBXL3	ATP11B
HEATR5B	ATP11B
CLCN6	ATP11B
MBTD1	ATP11B
MRE11	ATP11B
BCLAF1	ATP11B
TBC1D23	ATP11B
BOD1L1	ATP11B
ABHD5	SEC61A1
NOP16	SEC61A1
MYCBP2	PPP1R12A
HEATR5B	PPP1R12A
MBTD1	PPP1R12A
UFL1	PPP1R12A
UBA6	PPP1R12A
MAT2B	PPP1R12A
INPP4A	PPP1R12A
VAMP3	PPP1R12A
SDCCAG8	PPP1R12A
DNASE1L1	CAMK2B
AKR7A2	CAMK2B
NCAPH2	CROCC
