A	B
PTPRN	SEZ6
CAMK2B	SEZ6
PSD	SEZ6
LZTS1	SEZ6
DGAT2	SEZ6
DNAH9	SLC6A16
DLEC1	SLC6A16
LRRC23	SLC6A16
DNAH5	SLC6A16
OSBPL7	BICRA
PHPT1	RPL18
MATK	CA11
CYP46A1	CA11
PSD	CA11
LZTS1	CA11
POLR2J	ISOC2
NIPAL3	LIMCH1
MYLIP	LIMCH1
ANLN	LIMCH1
VRK2	LIMCH1
GAB2	LIMCH1
RAI14	LIMCH1
WWC3	LIMCH1
MAP4	LIMCH1
COL9A2	LIMCH1
TMCC3	LIMCH1
WNK1	LIMCH1
DNAH9	SPA17
SLC25A13	ST3GAL6
LAMP2	ST3GAL6
MYLIP	ST3GAL6
SYPL1	ST3GAL6
CD9	ST3GAL6
CLDN11	ST3GAL6
PHLDB1	ST3GAL6
VRK2	ST3GAL6
PLEKHH1	ST3GAL6
TMCC3	ST3GAL6
ANLN	HIPK2
PLEKHB1	HIPK2
GAB2	HIPK2
RAI14	HIPK2
MAP4	HIPK2
TMCC3	HIPK2
LIMCH1	HIPK2
NR1H3	RFXANK
SZRD1	RFXANK
SLC25A13	SLC12A2
LAMP2	SLC12A2
TMEM98	SLC12A2
ADIPOR2	SLC12A2
MYLIP	SLC12A2
SYPL1	SLC12A2
CD9	SLC12A2
ANLN	SLC12A2
CD22	SLC12A2
SEMA3B	SLC12A2
CLDN11	SLC12A2
PHLDB1	SLC12A2
VRK2	SLC12A2
FUT8	SLC12A2
DAPK2	SLC12A2
CDH1	SLC12A2
COL9A2	SLC12A2
PLEKHH1	SLC12A2
TMCC3	SLC12A2
WNK1	SLC12A2
LIMCH1	SLC12A2
ST3GAL6	SLC12A2
PAX6	EYA2
MGST1	EYA2
CHDH	EYA2
HSD17B6	EYA2
PHF21B	EYA2
IL17RB	EYA2
KLHL13	FAR2
CDKL5	FAR2
GAB2	BCAS1
MAP4	BCAS1
WNK1	BCAS1
HIPK2	BCAS1
CD44	CHI3L2
SEMA3F	SBNO2
TEAD3	SBNO2
ST3GAL1	SBNO2
SLC11A1	SBNO2
SERPINB1	SBNO2
TNFRSF1B	SBNO2
MAP2K3	SBNO2
LCP2	SBNO2
PLXND1	HMG20B
HOMER3	HMG20B
HEBP2	HMG20B
SZRD1	HMG20B
RPUSD1	NTHL1
PGM3	GNAI3
FGR	TRAM2
CASP10	TRAM2
TFPI	TRAM2
ST3GAL1	TRAM2
LCP2	TRAM2
FOXC1	TRAM2
SYNE2	TRAM2
PARP12	TRAM2
ALDH3B1	NTN1
ARHGAP6	GLP2R
CBLN4	GLP2R
TTC22	DGKA
TMEM159	DGKA
SLC25A13	ERBB3
LAMP2	ERBB3
TMEM98	ERBB3
ADIPOR2	ERBB3
MYLIP	ERBB3
CD9	ERBB3
ANLN	ERBB3
CD22	ERBB3
CLDN11	ERBB3
CLCA4	ERBB3
PHLDB1	ERBB3
VRK2	ERBB3
FUT8	ERBB3
DAPK2	ERBB3
COL9A2	ERBB3
TMCC3	ERBB3
ST3GAL6	ERBB3
SLC12A2	ERBB3
SLC25A13	ANKRD44
BRCA1	ANKRD44
MAP4K5	ANKRD44
FOXN3	ANKRD44
ST3GAL6	ANKRD44
PAX6	MYLK
PREX2	MYLK
NIPAL3	PACC1
SLC25A13	PACC1
LAMP2	PACC1
MYLIP	PACC1
SYPL1	PACC1
CLDN11	PACC1
PHLDB1	PACC1
FUT8	PACC1
PLEKHH1	PACC1
TMCC3	PACC1
ST3GAL6	PACC1
SLC12A2	PACC1
ERBB3	PACC1
HECW1	SNAP91
MAP3K9	SNAP91
ARHGAP44	SNAP91
MDH1	SNAP91
NRXN3	SNAP91
GABRA1	SNAP91
XK	SNAP91
RIMBP2	SNAP91
GUCY1B1	SNAP91
SLC25A13	PRKCQ
LAMP2	PRKCQ
TMEM98	PRKCQ
ADIPOR2	PRKCQ
MYLIP	PRKCQ
CD9	PRKCQ
ANLN	PRKCQ
CD22	PRKCQ
SEMA3B	PRKCQ
CLDN11	PRKCQ
PHLDB1	PRKCQ
VRK2	PRKCQ
FUT8	PRKCQ
DAPK2	PRKCQ
COL9A2	PRKCQ
PLEKHH1	PRKCQ
TMCC3	PRKCQ
WNK1	PRKCQ
LIMCH1	PRKCQ
ST3GAL6	PRKCQ
SLC12A2	PRKCQ
ERBB3	PRKCQ
PACC1	PRKCQ
LAMP2	FAM107B
ADIPOR2	FAM107B
CD9	FAM107B
ANLN	FAM107B
SEMA3B	FAM107B
CLDN11	FAM107B
VRK2	FAM107B
GAB2	FAM107B
DAPK2	FAM107B
RAI14	FAM107B
COL9A2	FAM107B
PLEKHH1	FAM107B
TMCC3	FAM107B
WNK1	FAM107B
LIMCH1	FAM107B
HIPK2	FAM107B
SLC12A2	FAM107B
BCAS1	FAM107B
ERBB3	FAM107B
PRKCQ	FAM107B
ANOS1	ME1
SLC11A1	MTHFD2
SBNO2	MTHFD2
KLHL13	SLC9A7
CAMKK1	SLC9A7
PRKAR2B	SLC9A7
CACNG3	SLC9A7
DLX6	SLC9A7
CAMK1G	SLC9A7
SYT7	SLC9A7
NCDN	SLC9A7
TOMM34	SLC9A7
LRRC7	SLC9A7
LMO3	SLC9A7
DKK3	SLC9A7
FSTL4	SLC9A7
PSD	SLC9A7
STYK1	SLC9A7
DGAT2	SLC9A7
SEZ6	SLC9A7
SYPL1	YBX1
ABHD5	YBX1
DERA	YBX1
WWC3	YBX1
HOMER3	YBX1
HEBP2	YBX1
HMG20B	YBX1
FGR	TIE1
CFH	TIE1
FOXC1	TIE1
TRAM2	TIE1
NIPAL3	DIP2B
SLC25A13	DIP2B
LAMP2	DIP2B
MYLIP	DIP2B
SYPL1	DIP2B
BRCA1	DIP2B
CLDN11	DIP2B
PHLDB1	DIP2B
VRK2	DIP2B
FUT8	DIP2B
WWC3	DIP2B
VAMP3	DIP2B
PLEKHH1	DIP2B
TMCC3	DIP2B
LIMCH1	DIP2B
ST3GAL6	DIP2B
SLC12A2	DIP2B
ERBB3	DIP2B
PACC1	DIP2B
PRKCQ	DIP2B
FAM107B	DIP2B
TSPAN6	ZMYND12
ALDH3B1	ZMYND12
LRRC23	ZMYND12
IL20RA	ZMYND12
DNAH5	ZMYND12
CC2D2A	ZMYND12
GYG2	ZMYND12
SLC6A16	ZMYND12
CAMKK1	NGEF
CACNG3	NGEF
TAC1	NGEF
DLX6	NGEF
RHOBTB2	NGEF
SYT7	NGEF
CCDC88C	NGEF
NCDN	NGEF
CYP46A1	NGEF
CAMK2B	NGEF
LZTS1	NGEF
DGAT2	NGEF
CA11	NGEF
CD74	CD84
ADAM28	CD84
SLC25A13	ELOVL1
LAMP2	ELOVL1
TMEM98	ELOVL1
ADIPOR2	ELOVL1
MYLIP	ELOVL1
SYPL1	ELOVL1
CD9	ELOVL1
ANLN	ELOVL1
CD22	ELOVL1
SEMA3B	ELOVL1
CLDN11	ELOVL1
PHLDB1	ELOVL1
VRK2	ELOVL1
DAPK2	ELOVL1
COL9A2	ELOVL1
