A	B
STAP1	DAPP1
ADAM28	DAPP1
LCP2	DAPP1
DGKA	DAPP1
ANKRD44	DAPP1
SPI1	DAPP1
RASGRP2	DAPP1
KCNAB2	DAPP1
CLEC2D	DAPP1
RANBP9	EXOC5
SPPL2B	RNF126
PRICKLE3	RNF126
DDX20	ZXDC
FKBP4	JMJD6
IFRD1	JMJD6
UFD1	GBA2
POLB	AP3M2
SP100	PABPC1
CALCOCO1	TESK2
SCMH1	CSNK2A2
ZC3H11A	CSNK2A2
SPATA7	PTPN21
PTPN3	PTPN21
ANAPC4	RAD18
MSL3	MGAT4A
PSMB1	WDR1
TMEM132A	VASH1
IFFO1	VASH1
MAMLD1	LMCD1
ERP44	SEL1L
SEC61A1	SEL1L
LPAR2	TCF3
RNF126	TCF3
CTDP1	DAZAP1
TM7SF3	HLTF
PRICKLE3	FAM50A
HMG20B	FAM50A
MARK4	FAM3A
ZC3H3	FAM3A
MBD3	FAM3A
CYB561	RDH11
NDUFAB1	PRKACA
MBD3	ADGRL1
FOXC1	ACTN1
NEDD4L	RPS6KA6
ATP9A	RPS6KA6
LIMCH1	RPS6KA6
GSTO2	RPS6KA6
MPPED2	RPS6KA6
FGFR2	RPS6KA6
PTPN21	RPS6KA6
DVL2	EPN2
NISCH	EPN2
PHKA2	EPN2
HDHD5	PTPN18
CDH1	LNX1
MPPED2	LNX1
RPS6KA6	LNX1
GCLM	ALDH3A2
PAFAH1B1	AFF4
MAP2K4	AFF4
TBPL1	UBE2D1
CBFB	UBE2D1
RABGAP1	MPP5
ZMYND11	MPP5
LRP6	MPP5
RPS6KA6	MPP5
GUCY1B1	RHOBTB1
FUCA2	HSD17B10
CAPN1	HSD17B10
ALAS1	HSD17B10
ALG1	HSD17B10
ALDH18A1	HSD17B10
ELOVL1	HSD17B10
STOML1	HSD17B10
HDAC7	CHFR
FKBP4	P4HA2
STAB1	FCGR2B
ALOX5	FCGR2B
POU2F2	FCGR2B
TBXAS1	FCGR2B
SPI1	FCGR2B
DAPP1	FCGR2B
PIK3C2A	TRNT1
MON2	TRNT1
CASP10	STK10
CD79B	STK10
IFFO1	STK10
FYN	STK10
TACC3	STK10
CCDC88C	STK10
PLEKHO1	STK10
CELF2	STK10
TBXAS1	STK10
CASP8	STK10
FAR2	STK10
ANKRD44	STK10
RASGRP2	STK10
DAPP1	STK10
MCUB	ACAP1
MATK	ACAP1
CD79B	ACAP1
TACC3	ACAP1
CCDC88C	ACAP1
WAS	ACAP1
RUNX3	ACAP1
BIRC3	ACAP1
SLAMF7	ACAP1
BTN3A1	ACAP1
POU2F2	ACAP1
STAP1	ACAP1
ADAM28	ACAP1
LCP2	ACAP1
TRAF1	ACAP1
TNK2	ACAP1
TSPAN32	ACAP1
DGKA	ACAP1
ANKRD44	ACAP1
RASGRP2	ACAP1
KCNAB2	ACAP1
DAPP1	ACAP1
STK10	ACAP1
FUZ	CRMP1
ROGDI	CRMP1
TSPOAP1	EVC
LRRC23	EVC
HHAT	EVC
SEL1L	DERL2
ITGAL	SIDT1
CD79B	SIDT1
TRAF3IP3	SIDT1
BTK	SIDT1
CD6	SIDT1
TACC3	SIDT1
WAS	SIDT1
RUNX3	SIDT1
SLAMF7	SIDT1
BTN3A1	SIDT1
POU2F2	SIDT1
STAP1	SIDT1
ADAM28	SIDT1
LCP2	SIDT1
CELF2	SIDT1
TSPAN32	SIDT1
DGKA	SIDT1
ANKRD44	SIDT1
CD84	SIDT1
RASGRP2	SIDT1
KCNAB2	SIDT1
CLEC2D	SIDT1
DAPP1	SIDT1
STK10	SIDT1
ACAP1	SIDT1
FYN	NDE1
INPP4A	NDE1
TDP1	NDE1
PACC1	NDE1
FAM107B	NDE1
RASSF1	NDE1
ITGA3	PVR
TEAD3	PVR
CLEC16A	PVR
ARSD	MCM2
NADK	SELENOO
PRICKLE3	SELENOO
EDC4	SELENOO
ZNF76	SELENOO
APBA3	LLGL2
TLE2	LLGL2
PPP2R5B	LLGL2
UBA6	PDE8A
TAF11	PDE8A
PDK2	CLCN4
PNPLA4	CLCN4
ZFP64	CLCN4
CDH1	CLCN4
OFD1	GSDMB
NSMAF	KDM5A
TEAD3	IGF2BP2
FERMT2	PICALM
NDUFAB1	NSF
PPP1R3F	MRPS34
TFPI	TEAD2
GGCT	TEAD2
MVP	TEAD2
GAB2	TEAD2
YBX3	TEAD2
SBNO2	TEAD2
CD79B	ATP2A3
IFFO1	ATP2A3
TACC3	ATP2A3
WAS	ATP2A3
DGKA	ATP2A3
ANKRD44	ATP2A3
RASGRP2	ATP2A3
KCNAB2	ATP2A3
STK10	ATP2A3
TIMP2	MGLL
TIMP2	NTN4
FRY	NTN4
ALDH18A1	HACD3
FECH	HACD3
DNASE1L1	ZZEF1
ZNF275	ZZEF1
BAK1	ENO1
CHPF2	ENO1
GPC1	ENO1
ATP1B3	ENO1
CYB561	MYDGF
NUCB2	MYDGF
RAD52	ANO8
REX1BD	ANO8
OSBPL7	ANO8
PHPT1	ANO8
TRAF1	ANO8
TNK2	ANO8
ABCA7	ANO8
NTHL1	ANO8
ROGDI	ANO8
PLEKHH3	ANO8
IFRD1	TUBE1
OFD1	TUBE1
TRAF3IP3	TXK
TACC3	TXK
CCDC88C	TXK
DEF6	TXK
DGKA	TXK
ANKRD44	TXK
RASGRP2	TXK
CLEC2D	TXK
ACAP1	TXK
SIDT1	TXK
TFPI	SEMA3A
MRC2	SEMA3C
TIMP2	SEMA3C
PEX3	ACAT1
SRBD1	ACAT1
PHKA2	ZNF638
CSNK2A2	ZNF638
USP28	SLC25A40
PMS1	SLC25A40
SPATA20	VPS9D1
HMG20B	VPS9D1
ATP6V0A1	SLC25A3
WDR1	SLC25A3
ERP44	FNDC3B
CTNNA1	FNDC3B
NTHL1	FSCN1
CC2D2A	PLD1
PKD1	SEC31B
CLK1	SEC31B
OFD1	SEC31B
CROCC	SEC31B
ITGAL	ARHGAP15
MATK	ARHGAP15
IFFO1	ARHGAP15
CD6	ARHGAP15
CCDC88C	ARHGAP15
BIRC3	ARHGAP15
DEF6	ARHGAP15
FAS	ARHGAP15
TSPAN32	ARHGAP15
DGKA	ARHGAP15
ANKRD44	ARHGAP15
FAM107B	ARHGAP15
ACAP1	ARHGAP15
GNAI3	KIFAP3
OAT	KIFAP3
SNAPC1	REXO2
ACSL4	REXO2
RB1CC1	RBM7
ITGA3	RBMS2
RUFY3	RBMS2
PTPN3	RBMS2
METTL22	BAZ2A
HMG20B	PTPN23
FECH	UNG
CLCN4	UNG
ACAT1	UNG
CC2D2A	FMO4
ZMYND12	FMO4
ZDHHC6	KLHL20
FUZ	SLC46A1
NTHL1	SLC46A1
CRMP1	SLC46A1
EVC	SLC46A1
CCDC28A	TPD52
MCUR1	TPD52
STK10	PAG1
RUFY3	NT5C2
HLTF	MBNL3
SLC25A40	MBNL3
TG	RAP1GAP
BICRA	XAB2
METTL22	XAB2
RNF126	XAB2
CASP10	ARHGEF1
JARID2	ARHGEF1
TACC3	ARHGEF1
CCDC88C	ARHGEF1
DEF6	ARHGEF1
INPP4A	ARHGEF1
NFE2L3	ARHGEF1
CASP8	ARHGEF1
ABCA7	ARHGEF1
ANKRD44	ARHGEF1
RASGRP2	ARHGEF1
KCNAB2	ARHGEF1
CLEC2D	ARHGEF1
RNF126	ARHGEF1
SIDT1	ARHGEF1
SEC31B	ARHGEF1
SLC66A1	STXBP2
