A	B
TBC1D23	ZNF800
RRM2B	ZNF800
HEATR5B	SNX29
NCAPD2	SNX29
MAN2B2	SNX29
GRN	SNX29
ARID4A	SNX29
RETSAT	SNX29
RECQL	RSF1
SKAP2	RSF1
MBTPS2	RSF1
M6PR	VPS13D
RECQL	VPS13D
HCCS	VPS13D
CSDE1	VPS13D
BAZ1B	VPS13D
RNF10	VPS13D
PHF20	VPS13D
SEC63	VPS13D
VRK2	VPS13D
ABCF2	VPS13D
CUL3	VPS13D
PRKAR2B	CELF2
AP2B1	CELF2
RABGAP1	CELF2
CALCOCO1	CELF2
ZMYND11	CELF2
PRDM11	CELF2
FAM13B	CELF2
PIAS1	CELF2
VCL	CELF2
HDAC9	CELF2
ANKIB1	FAM120A
MYCBP2	FAM120A
KIAA0100	FAM120A
BTBD7	FAM120A
STRAP	FAM120A
PHF20	FAM120A
KPNA6	FAM120A
RABEP1	FAM120A
CTNNA1	FAM120A
VPS13D	FAM120A
RNF14	R3HDM1
DHX33	H6PD
CHPF2	H6PD
RECQL	LTBP1
REV3L	LTBP1
NDUFAF7	RCN1
RPAP3	RCN1
GGCT	RCN1
PTBP1	RCN1
PLAUR	RCN1
MVP	RCN1
TOMM34	RCN1
METTL1	RCN1
DHX33	RFC2
RPAP3	RFC2
GCLM	RFC2
METTL1	RFC2
LSG1	RFC2
C12orf4	RFC2
NOP16	RFC2
RCN1	RFC2
FBXL3	ARID1B
PAF1	ARID1B
BAZ1B	ARID1B
NCAPD2	ARID1B
RALBP1	ARID1B
ZRANB1	ARID1B
RABEP1	ARID1B
NUDCD3	CLPTM1L
NSMAF	CLPTM1L
RPL26L1	CLPTM1L
BAD	PPP1R3F
ST7	PPP1R3F
TSR3	PPP1R3F
NCDN	PPP1R3F
GLT8D1	HEXB
IFNGR1	HEXB
FUT8	HEXB
RABGAP1	NEXMIF
ALS2	JKAMP
GABARAPL2	JKAMP
TSR3	MCUR1
CAPN1	MCUR1
AGPS	MCUR1
GLRX2	MCUR1
FAM136A	MCUR1
ADSS2	MCUR1
STAU2	MCUR1
ST7L	LETMD1
CRAMP1	LETMD1
ZCCHC8	LETMD1
WDR37	LETMD1
AKAP11	MAPK9
RANBP3	MAPK9
ADSS2	MAPK9
CTNNA1	MAPK9
MED24	BCAR1
TOMM34	BCAR1
RIPOR1	BCAR1
RCN1	BCAR1
GOPC	FAM160A2
LETMD1	FAM160A2
HEXB	HERPUD1
BCAR1	HOMER3
SKAP2	PIK3CB
GDE1	PIK3CB
AP2B1	PIK3CB
NCAPD2	PIK3CB
RABGAP1	PIK3CB
ZMYND11	PIK3CB
ZRANB1	PIK3CB
VRK2	PIK3CB
FAM13B	PIK3CB
PIAS1	PIK3CB
PEX3	PIK3CB
ATP6V1H	PIK3CB
TPR	PIK3CB
RSF1	PIK3CB
SYPL1	HEBP2
NCAPD2	HEBP2
HEBP1	HEBP2
RALBP1	HEBP2
RNF10	HEBP2
ERP44	SIKE1
DHX33	RRP12
GGCT	RRP12
MVP	RRP12
LSG1	RRP12
RFC2	RRP12
ENPP4	FNIP2
WWTR1	FNIP2
RB1CC1	FNIP2
