A	B
CHDH	PYGM
SYT13	PYGM
ANK1	PYGM
MYOM2	PYGM
USP2	PYGM
EPN3	PYGM
SEMA3F	BCL3
TYMP	BCL3
RELT	BCL3
OSBPL7	CLEC2D
CLK1	CLEC2D
CCDC28A	CLEC2D
MDH1	MAOB
ATP1A2	MAOB
NDUFS1	MAOB
DKK3	MAOB
PKP2	MAOB
USP13	MAOB
MPC1	MAOB
SEMA3F	ATP1B3
PLAUR	ATP1B3
WWTR1	ATP1B3
CD44	ATP1B3
TMSB10	ATP1B3
RAI14	ATP1B3
RELT	ATP1B3
USP36	ATP1B3
CDK17	ATP1B3
VMP1	ATP1B3
SBNO2	ATP1B3
TNFRSF1A	ATP1B3
BCL3	ATP1B3
MAP4K5	NEDD4
TFPI	RAB27A
MCUB	RAB27A
PTBP1	RAB27A
ELOVL5	RAB27A
PI4K2B	RAB27A
VCAN	RAB27A
RAI14	RAB27A
LCP2	RAB27A
RCN1	RAB27A
CDK17	RAB27A
VMP1	RAB27A
SBNO2	RAB27A
ATP1B3	RAB27A
ASB4	PTPN3
ATP1A2	PTPN3
PYGM	PTPN3
MAOB	PTPN3
MAP3K9	SPTB
XK	SPTB
PRKCZ	SPTB
TNFRSF12A	FSTL3
PLEKHO1	FSTL3
MAP2K3	FSTL3
SLC9A3R2	ST6GALNAC1
MTHFD2	ASNS
ABCB4	CAMK2A
TKTL1	CAMK2A
HHATL	CAMK2A
ANK1	CAMK2A
MYOM2	CAMK2A
USP2	CAMK2A
EPN3	CAMK2A
KCNH2	CAMK2A
CAMK2B	CAMK2A
TSPAN32	CAMK2A
PYGM	CAMK2A
PTPN3	CAMK2A
HIPK2	RPS6KA2
LASP1	VASH1
ADGRA2	VASH1
EHD2	VASH1
AGPAT4	VASH1
TNFRSF12A	LMCD1
MAP2K3	LMCD1
FSTL3	LMCD1
PLXND1	TCF3
MVP	TCF3
OSBPL5	TCF3
HOMER3	TCF3
RPL18	TCF3
DGKA	TCF3
PDIA5	TCF3
CCDC124	FAM3A
BICRA	CPSF1
ARHGAP6	CYBRD1
ITGA3	ACTN1
LASP1	PTPN18
PLXND1	PTPN18
ARHGAP33	PTPN18
TACC3	PTPN18
EHD2	PTPN18
AGPAT4	PTPN18
RASGRP2	PTPN18
TLE2	LIMS2
ADGRF5	LNX1
ELOVL1	CHFR
TFE3	CHFR
UQCRC1	ACADVL
LASP1	STK10
PTBP1	STK10
MVP	STK10
EHD2	STK10
TMSB10	STK10
PDIA5	STK10
TNFRSF1A	STK10
TCF3	STK10
RNASET2	ACAP1
TRAF1	ACAP1
CROCC	ACAP1
TMEM98	CRMP1
LUC7L	CRMP1
RNASET2	CRMP1
ARHGAP33	EVC
ANOS1	EVC
DCN	EVC
AGPAT4	EVC
EPHA3	EVC
LIMA1	EVC
TRO	EVC
MSL3	DERL2
ARHGAP6	MRVI1
HHATL	TMEM38A
SYT7	TMEM38A
ATP1A2	TMEM38A
MYOM2	TMEM38A
USP2	TMEM38A
KCNH2	TMEM38A
CAMK2B	TMEM38A
PYGM	TMEM38A
PTPN3	TMEM38A
CAMK2A	TMEM38A
MCUB	ALPK1
