name1	name2
ABCC3	SLC7A13
ABCC3	SLC9B1
ABCC3	SLCO1A2
ABCC3	SLCO1B1
ABCC3	SLCO1B3
ABCC3	SLCO1C1
ABCC3	SLCO2A1
ABCC3	SLCO2B1
ABCC3	SLCO3A1
ABCC3	STARD6
ABCC4	POTEKP
ABCC4	SCG3
ABCD1	ABCD3
ABCD1	ACAA1
ABCD1	ACOX1
ABCD1	CPT1B
ABCD1	CPT2
ABCD1	FADS2
ABCD1	NUDT19
ABCD1	SCP2
ABCD1	SLC27A2
ABCD1	SLC27A6
ABCD2	CPT1B
ABCD2	CPT2
ABCD2	SLC27A6
ABCD3	CPT1B
ABCD3	CPT2
ABCD4	GIF
ABCD4	MMAB
ABCD4	TCN1
ABCD4	TCN2
ABCF3	CCDC130
ABCF3	CRNN
ABCF3	DEFB118
ABCF3	ESAM
ABCF3	GBP3
ABCF3	IFI44
ABCF3	IFI44L
ABCF3	IFIT1B
ABCF3	IFIT5
ABCF3	MICA
ABCF3	MPDZ
ABCF3	SIGLEC1
ABCF3	SIRPA
ABCF3	SPON2
ABCG2	SLC47A2
ABCG2	SLC48A1
ABCG4	CFHR4
ABCG4	ESYT1
ABCG4	ESYT3
ABCG4	GLTPD2
ABCG4	OSBPL2
ABCG4	OSBPL3
ABCG4	OSBPL6
ABCG4	OSBPL9
ABCG4	PLEKHA8P1
ABCG4	SLC10A2
ABCG4	SLC10A4
ABCG4	SLC10A5
ABCG4	SLC10A6
ABCG4	STARD6
ABCG5	ABCG8
ABCG5	MALL
ABCG8	MALL
ABHD10	UGT1A3
ABHD10	UGT1A4
ABHD10	UGT1A5
ABHD10	UGT1A6
ABHD10	UGT1A9
ABHD12	ABHD16A
ABHD16A	CYP4F3
ABHD16A	DGAT2L6
ABHD16A	GDE1
ABHD16A	PNPLA3
ABHD2	ACRBP
ABHD3	CDIPT
ABHD3	CDS2
ABHD3	CEPT1
ABHD3	CHKB
ABHD3	CRLS1
ABHD3	ETNPPL
ABHD3	LPCAT3
ABHD3	LPCAT4
ABHD3	MBOAT1
ABHD3	MBOAT2
ABHD3	PCYT1A
ABHD3	PCYT2
ABHD3	PI4K2B
ABHD3	PLA2G4D
ABHD3	PLA2G4E
ABHD3	PLBD1
ABHD3	PTDSS1
ABHD3	PTDSS2
ABHD3	SACM1L
ABHD3	SYNJ2
ABHD3	TAMM41
ABHD4	LDAH
ABHD6	GRID2IP
ABI3BP	C6orf15
ABI3BP	CCDC80
ABI3BP	DMP1
ABI3BP	ECM2
ABI3BP	EGFL6
ABI3BP	EGFLAM
ABI3BP	FBLN2
ABI3BP	MATN4
ABI3BP	NID1
ABI3BP	OLFML2A
ABI3BP	PLEKHA2
ABI3BP	RELL2
ABI3BP	SMOC2
ABI3BP	VIT
ABLIM1	CRYGB
ABLIM1	USH1G
ABO	GBGT1
ABO	GLT6D1
ABR	BCR
ABTB1	ARIH1
ABTB1	BTBD2
ABTB1	FBXL14
ABTB1	HECTD1
ABTB1	HECTD3
ABTB1	HECW2
ABTB1	HERC3
ABTB1	KBTBD4
ABTB1	KLHDC8A
ABTB1	KLHL11
ABTB1	KLHL15
ABTB1	KLHL28
ABTB1	KLHL32
ABTB1	KLHL7
ABTB1	KLHL8
ABTB1	RMND5A
ABTB1	RMND5B
ABTB1	SPOP
ABTB1	UBE3B
ABTB1	ZNRF4
ABTB2	BTBD2
ABTB2	FBXL14
ABTB2	HECTD1
ABTB2	HECTD3
ABTB2	HECW2
ABTB2	HERC3
ABTB2	KBTBD4
ABTB2	KLHDC8A
ABTB2	KLHL11
ABTB2	KLHL15
ABTB2	KLHL28
ABTB2	KLHL32
ABTB2	KLHL7
ABTB2	KLHL8
ABTB2	RMND5A
ABTB2	RMND5B
ABTB2	SPOP
ABTB2	UBE3B
ABTB2	ZNRF4
ACAA1	ACAT2
ACAA1	ACOT1
ACAA1	ACOT2
ACAA1	ACOT8
ACAA1	ACOX1
ACAA1	ACOX2
ACAA1	ACOX3
ACAA1	ACOXL
ACAA1	AMACR
ACAA1	CYP27A1
ACAA1	CYP2A7
ACAA1	CYP2U1
ACAA1	CYP8B1
ACAA1	ECH1
ACAA1	ECHDC2
ACAA1	ECHS1
ACAA1	ECI1
ACAA1	ECI2
ACAA1	ELOVL1
ACAA1	ELOVL2
ACAA1	ELOVL3
ACAA1	ELOVL5
ACAA1	ETFB
ACAA1	FAAH
ACAA1	FAAH2
ACAA1	FADS2
ACAA1	HAO2
ACAA1	HSD17B4
ACAA1	NUDT19
ACAA1	SCP2
ACAA1	SLC27A2
ACAA1	SLC27A3
ACAA1	SLC27A5
ACAA1	SLC27A6
ACAA1	TBXAS1
ACAD10	ACAD11
ACAD10	ACAD8
ACAD10	ACAD9
ACAD10	ACADM
ACAD10	ACADS
ACAD10	ACADSB
ACAD10	ACOX2
ACAD10	ACOX3
ACAD10	ACOXL
ACAD10	ACSM1
ACAD10	ACSM2A
ACAD10	ACSM3
ACAD10	ETFA
ACAD10	ETFB
ACAD10	GCDH
ACAD10	IVD
ACAD10	MALL
ACAD10	MIA2
ACAD10	PNPLA1
ACAD10	PNPLA3
ACAD10	PNPLA4
ACAD10	PNPLA5
ACAD11	ACAD8
ACAD11	ACAD9
ACAD11	ACADM
ACAD11	ACADS
ACAD11	ACADSB
ACAD11	ACOX2
ACAD11	ACOX3
ACAD11	ACOXL
ACAD11	ACSM1
ACAD11	ACSM2A
ACAD11	ACSM3
ACAD11	ETFA
ACAD11	ETFB
ACAD11	GCDH
ACAD11	IVD
ACAD11	MALL
ACAD11	MIA2
ACAD11	PNPLA1
ACAD11	PNPLA3
ACAD11	PNPLA4
ACAD11	PNPLA5
ACAD8	ACADSB
ACAD8	ACOX3
ACAD8	ACOXL
ACAD8	HIBCH
ACAD8	IVD
ACAD9	ACADM
ACAD9	ACADS
ACAD9	ACADSB
ACAD9	ACOX2
ACAD9	ACOX3
ACAD9	ACOXL
ACAD9	COA4
ACAD9	COX14
ACAD9	ETFA
ACAD9	FOXRED1
ACAD9	GCDH
ACAD9	IVD
ACAD9	NDUFA1
ACAD9	NDUFA11
ACAD9	NDUFA2
ACAD9	NDUFA3
ACAD9	NDUFA5
ACAD9	NDUFA8
ACAD9	NDUFAF1
ACAD9	NDUFAF3
ACAD9	NDUFAF4
ACAD9	NDUFB1
ACAD9	NDUFB10
ACAD9	NDUFB11
ACAD9	NDUFB2
ACAD9	NDUFB3
ACAD9	NDUFB5
ACAD9	NDUFB6
ACAD9	NDUFB7
ACAD9	NDUFB8
ACAD9	NDUFC1
ACAD9	NDUFC2
ACAD9	NDUFS5
ACAD9	NDUFS7
ACAD9	NDUFV1
ACAD9	NDUFV3
ACAD9	PET100
ACAD9	SDHAF1
ACAD9	SMIM20
ACAD9	TIMMDC1
ACAD9	TMEM126B
ACADL	ACADM
ACADM	ACADS
ACADM	ACADSB
ACADM	ACOX2
ACADM	ACOX3
ACADM	ACOXL
ACADM	BBOX1
ACADM	CPT1C
ACADM	CRAT
ACADM	ETFA
ACADM	GCDH
ACADM	IVD
ACADM	TMLHE
