GENEA	GENEB
MRPL10	MTG2
LRPPRC	MRPL43
LARS2	MRPS2
HARS2	MRPL23
EXT2	EXTL3
COA7	PET117
TWNK	MTG2
ATIC	MTHFD1
ASNA1	WRB
PAGR1	PAXIP1
NDUFA11	NDUFAF4
MRPL16	MRPL23
MRPL10	MRPL21
MARS2	MRPS23
MARS2	MRPL32
LRPPRC	MRPS11
KIAA0391	MRPS24
KIAA0391	MRPS14
HARS2	LARS2
GTPBP8	MTG1
GFM1	MRPL20
VPS18	VPS33A
PSTK	SEPSECS
MRPS6	QRSL1
MRPS25	TFB1M
MRPL15	MRPS31
EARS2	YARS2
MRPS11	MRPS23
MRPL33	MRPL43
MRPL20	SSBP1
LRPPRC	MRPL39
LRPPRC	MRPL21
KIAA0391	VARS2
HARS2	MTG2
FOXRED1	PET117
CCDC6	FBXO42
TWNK	RARS2
TWNK	POLG
NDUFB6	TIMMDC1
NDUFB6	PET117
MRPS6	TFAM
MRPL46	MRPS18C
MRPL39	MTG2
MRPL18	MRPL43
MRPL10	MRPS14
MRPL10	MRPL33
GFM1	MRPS6
FARS2	MRPL21
TWNK	QRSL1
AARS2	LARS2
NDUFB10	TIMMDC1
NDUFAF1	NDUFV2
MRPS6	TRUB2
MRPS17	MRPS33
MRPL43	MTPAP
MRPL39	MRPS25
MRPL23	MTPAP
MRPL23	MRPL46
MRPL21	YARS2
MRPL15	MRPS12
LARS2	MARS2
GTPBP10	MTERF3
FOXRED1	NDUFS2
FAM200B	SULT1E1
EARS2	MRPL47
DDX28	GTPBP10
CARS2	COA7
AARS2	MARS2
NDUFS1	UQCRC2
NDUFB8	NDUFS8
NDUFB3	NDUFB8
NDUFAF1	NDUFB10
MTHFD1	PPAT
MRPS11	MRPS22
MRPS10	MRPS18C
MRPL40	MRPL57
MRPL23	TFB1M
MRPL18	MRPS5
MRPL16	YARS2
MRPL10	MRPL39
HARS2	YARS2
HARS2	MRPS16
GATC	MARS2
NDUFB6	NDUFS8
MRPL15	MRPL41
MRPL15	MRPL28
MRPL15	MRPL20
MARS2	MRPL23
KIAA0391	MRPL23
HARS2	MRPL40
EARS2	TFB1M
EARS2	MRPL18
NDUFA2	NDUFA6
NDUFA10	NDUFB8
MRPL43	MRPL46
MRPL33	MRPS18B
MRPL16	MTG2
MARS2	TFAM
LARS2	MRPL21
KIAA0391	MRPL21
HARS2	MRPS12
COA7	DARS2
AARS2	MRPL15
SSBP1	TRUB2
MRPS6	MRPS22
MRPS12	TRUB2
MRPL43	MTG1
MRPL20	MRPS17
MRPL15	YARS2
MRPL15	MRPL33
LARS2	MRPS14
HARS2	MRPL18
FOXRED1	NDUFAF5
COA6	UQCRC2
POLRMT	SSBP1
NDUFAF1	NDUFB6
NDUFA8	NDUFB2
NDUFA2	NDUFS8
MRPL18	MRPS14
MRPL15	MRPS18B
MRPL14	MRPS6
MRPL10	MRPL23
EARS2	SARS2
EARS2	RARS2
EARS2	MRPL57
EARS2	MRPL20
DDX28	MRM3
DDX28	MRPS6
CYC1	NDUFS2
TWNK	MRPL15
MRPS6	YARS2
MRPS6	TARS2
MRPS25	NARS2
MRPS12	PTCD3
MRPL57	YARS2
MRPL23	MRPS24
MRPL21	MRPS23
MRPL20	TFB1M
MRPL20	MRPS2
MRPL15	MTG1
MRPL15	MRPS16
LARS2	POLRMT
EARS2	MTPAP
EARS2	GFM1
DDX28	MTG1
COA7	MRPS6
TWNK	MRPL40
UQCRB	UQCRC1
NDUFB2	NDUFB6
NDUFA6	NDUFS2
NDUFA2	NDUFB10
NCAPD3	NCAPH2
MIPEP	MRPL15
LARS2	POLG
FOXRED1	NDUFB3
EARS2	MRPL55
UFL1	UFSP2
NDUFAF1	NDUFS1
MTPAP	SUPV3L1
MTG1	POLG
MRPS12	MTG2
MRPL47	SSBP1
MRPL39	MRPL47
MRPL2	MRPL15
MRPL23	MTG1
MRPL23	MRPL57
MRPL17	MRPL46
MRPL10	YARS2
LARS2	MRPS16
KCMF1	UBR4
FOXRED1	NDUFB10
FARS2	MRPS14
AARS2	KIAA0391
SARS2	TRUB2
SARS2	SSBP1
NDUFC1	TIMMDC1
NDUFC1	PET117
MRPS17	MRPS25
MRPL43	MRPS16
MRPL39	MRPL46
MRPL21	RARS2
MRPL15	MRPL49
MRPL14	MRPL21
MRPL10	MRPL16
LARS2	MTG2
LARS2	MRPS17
HARS2	QRSL1
HARS2	MRPL33
EARS2	MRPL33
COA6	MRPS16
TWNK	MRPL21
NDUFB4	NDUFB6
NDUFB2	NDUFS2
NDUFA8	TIMMDC1
MTHFD1	PFAS
MRPS6	MRPS23
MRPS22	MRPS24
MRPL55	MRPS6
MRPL43	TFB1M
MRPL38	MRPS11
MRPL32	MRPS11
MRPL20	NARS2
MRPL17	MRPL18
MRPL10	MRPL17
MARS2	RARS2
LARS2	SARS2
KIAA0391	NARS2
FPGS	PPAT
FARS2	VARS2
COX6C	CYC1
NDUFB4	NDUFS2
NDUFB3	NDUFS8
NDUFAF3	NDUFAF4
NDUFA6	NDUFAF1
NDUFA10	NDUFAF1
MRPS2	MRPS6
MRPS24	MTPAP
MRPL43	SARS2
MRPL23	MRPS14
MRPL18	TFAM
MRPL18	MRPS22
MRPL18	MRPS16
KIAA0391	MTG2
GFM1	MRPS17
FPGS	PFAS
TWNK	MRPL55
NDUFB8	TIMMDC1
MRPS6	SARS2
MRPL43	MRPS2
MRPL43	MRPL48
MARS2	POLG
MARS2	MRPS5
LRPPRC	MARS2
LARS2	TRUB2
LARS2	MRPS12
FOXRED1	NDUFA6
FOXRED1	NDUFA11
CYC1	PET117
TWNK	PTCD3
TWNK	MRPS16
AARS2	FARS2
TFB1M	TRUB2
MRPS6	MTERF3
MRPS6	MRPS18C
MRPS6	MRPS17
MRPS5	MRPS11
MRPL57	MRPS14
MRPL21	MTPAP
MRPL18	MTPAP
MRPL15	MRPL55
MALSU1	MRM3
HARS2	KIAA0391
CYC1	UQCR10
COA7	SCO2
COA6	COX4I1
CARS2	DARS2
ACAD9	FOXRED1
UBA5	UFL1
SLC25A26	SSBP1
NDUFB4	NDUFC1
NDUFA8	NDUFB4
NDUFA2	NDUFB3
NDUFA10	NDUFB3
MTG2	SARS2
MRPS6	SSBP1
MRPS24	RARS2
MRPS17	NARS2
MRPL47	MRPS25
MRPL43	MRPS25
MRPL41	MRPL57
MRPL23	MRPS12
MRPL21	MRPL41
MRPL20	MRPL47
MRPL20	MRPL28
MRPL18	MRPL23
MALSU1	MRPL15
LRPPRC	MRPL10
LARS2	SLC25A26
HARS2	PET117
HARS2	MRPS22
FARS2	MRPL46
EARS2	MRPS2
AARS2	MRPL23
UBE2H	WDR26
NDUFAF4	NDUFS8
NDUFAF1	NDUFS8
NDUFA8	NDUFAF5
NDUFA10	NDUFB2
NARS2	VARS2
NARS2	SSBP1
MRPS14	MTG2
MRPS14	MRPS25
MRPL41	MRPS6
MRPL3	MRPL15
MRPL38	MRPS6
MRPL21	MRPL23
MRPL20	POLRMT
MRPL20	MRPL39
MRPL15	TFAM
MED23	MED24
MARS2	MTPAP
GTPBP8	MRM3
EMC2	EMC6
TWNK	SARS2
TWNK	NARS2
ABHD13	OCLM
TFB1M	WARS2
MRPS24	WARS2
MRPL41	MRPL43
MRPL40	MRPL43
MARS2	MRPL55
LRPPRC	MRPS12
KIAA0391	MRPS16
KIAA0391	MRPL20
FARS2	MRPS12
EARS2	MRPL28
EARS2	MRPL14
CYC1	UQCRFS1
COX4I1	NDUFB10
ADSL	PPAT
NDUFB3	NDUFB9
NDUFAF1	PET117
NDUFA6	PET117
NARS2	QRSL1
MRPS6	NARS2
MRPS16	MTG2
MRPS14	MRPS16
MRPL55	MRPS14
MRPL43	POLG
MRPL43	MRPS18B
MRPL43	MRPL47
MRPL39	MRPL40
MRPL38	MRPL40
MRPL15	MRPS2
LARS2	MRPL28
KIAA0391	LRPPRC
GTPBP10	MALSU1
GFM1	MRPL47
GFM1	MRPL43
DDX28	GTPBP8
CNEP1R1	CTDNEP1
ALG6	ALG8
NDUFB6	NDUFS1
NDUFB4	NDUFV2
MRPS14	MTPAP
MRPS14	MRPS18C
MRPL47	NARS2
MRPL43	QRSL1
MRPL21	MTG2
MRPL16	MRPL34
MRPL15	MRPS10
HARS2	MRPS14
GFM1	MRPL39
FARS2	MRPS25
FARS2	MRPL47
EARS2	MRPS23
EARS2	LRPPRC
DDX28	MRPL23
BCS1L	COA6
NDUFAF4	NDUFS1
NDUFA10	NDUFS7
MRPS16	MRPS25
MRPL43	RARS2
MRPL39	MTPAP
MRPL34	MRPS6
MRPL32	MRPS6
MRPL32	MRPL39
MRPL18	MRPL41
MRPL16	MRPS18B
MRPL15	TFB1M
LARS2	NSUN4
KIAA0391	MTPAP
KIAA0391	MRPL18
GTPBP8	TFB1M
GNPDA2	SULT1E1
FOXRED1	NDUFS1
FARS2	MRPS18B
NDUFAF1	NDUFAF5
NDUFA8	NDUFAF7
MRPS2	MRPS25
MRPS11	RPUSD4
MRPS11	RARS2
MRPL55	MRPS16
MRPL33	MRPS22
MRPL33	MRPS14
MRPL33	MRPL39
MRPL28	MRPS6
MRPL21	MRPL57
MRPL18	MTG2
MRPL18	MRPS18B
MRPL17	MRPL40
MRPL16	MRPL32
LRPPRC	MRPL41
LRPPRC	MRPL32
KIAA0391	MRPS11
FARS2	QRSL1
FARS2	MTG2
EARS2	PTCD3
CYC1	UQCRC2
CARS2	MTG1
TWNK	MTPAP
AARS2	HARS2
NSUN4	TFB1M
NDUFB2	NDUFV2
NDUFA8	NDUFS7
MRPS18B	MRPS22
MRPS14	RARS2
MRPS12	QRSL1
MRPS12	MRPS16
MRPL39	RARS2
MRPL20	MRPS12
MRPL15	MRPS23
MRPL15	MRPS22
MRPL14	MRPS11
MRPL12	MRPS6
MALSU1	MRPL16
KIAA0391	RARS2
HARS2	POLG
FPGS	GART
WDR26	YPEL5
NDUFB9	NDUFS5
NDUFAF4	NDUFS5
MRPL32	MRPL46
MRPL23	TRUB2
MRPL18	MRPL33
MRPL16	MRPS24
MRPL16	MRPL39
MRPL10	MRPS24
MAU2	NIPBL
FOXRED1	NDUFAF7
FARS2	MRPL18
COA6	SCO2
ADSL	PFAS
OCLM	TAS2R10
NDUFAF4	TIMMDC1
NDUFAF4	NDUFAF7
MRPS24	PTCD3
MRPL55	MTG2
MRPL43	PTCD3
MRPL23	NARS2
MRPL23	MRPS25
MRPL20	MTG1
MARS2	TARS2
HARS2	UQCRC2
GFM1	POLRMT
GFM1	NARS2
DAP3	SSBP1
CYC1	NDUFB2
ATIC	FPGS
NDUFB2	NDUFS5
NDUFA8	NDUFB9
MRPL57	MRPS12
MRPL39	MRPL55
MDM2	PPM1D
MARS2	MRPL14
LRPPRC	MRPL57
LRPPRC	MRPL16
KIAA0391	MRPL17
GATC	MRPL18
FARS2	TRUB2
FARS2	MRPL33
DDX28	MRPL15
COA6	PET117
COA6	FOXRED1
BCS1L	UQCRC1
UFM1	UFSP2
NDUFB3	NDUFS2
NDUFA9	NDUFB3
MRPS18B	TFAM
MRPL41	MRPS24
MRPL39	QRSL1
MRPL23	POLG
MRPL23	MRPL48
MRPL21	MRPL46
MRPL14	MRPL18
MRPL14	MRPL16
MALSU1	MRPS6
HARS2	WARS2
FOXRED1	NDUFB6
EARS2	MTG1
CYC1	NDUFV2
COA6	UQCRB
TWNK	TRUB2
NDUFS7	NDUFS8
NDUFB4	NDUFB8
MRPS6	SLC25A26
MRPS14	VARS2
MRPS11	TFAM
MRPL57	MRPS22
MRPL46	TFB1M
MRPL46	MRPS24
MRPL39	MRPS17
MRPL28	MRPS12
MRPL16	MRPL17
MARS2	MTG2
MARS2	MRPS16
LARS2	MRPL18
HARS2	MRPS18B
HARS2	MRPL38
GTPBP10	MTERF4
GATC	MRPL23
EARS2	MRPS18C
COX6B1	UQCRC2
COX4I1	NDUFA8
COA6	LARS2
TWNK	MRPS2
ABHD13	SULT1E1
PET117	SCO1
NDUFS8	TIMMDC1
MTERF3	MRM3
MRPS24	TFAM
MRPL32	MRPS31
MRPL2	MRPL46
MRPL23	MRPS16
MRPL21	MRPS5
MRPL17	MRPL33
MRPL15	UQCR10
MRPL15	MRPL40
LRPPRC	TFAM
LRPPRC	PET117
DARS2	MTG1
CTNNB1	TCF7L2
COA6	NDUFS1
TWNK	VARS2
ABHD13	GNPDA2
RNF19A	SULT1E1
NDUFV2	TIMMDC1
NDUFB3	NDUFS7
NDUFAF4	NDUFC1
NDUFA10	NDUFB10
MRPS24	MTG2
MRPS14	MRPS22
MRPL57	MRPS23
MRPL57	MRPS18B
MRPL4	MRPL57
MRPL23	MRPS11
MRPL16	TFAM
MRPL15	RPUSD4
MRPL14	MRPL39
MALSU1	MRPS24
LRPPRC	MRPS18B
HUS1	RAD9A
HARS2	MRPL41
GFM1	QRSL1
CYC1	NDUFC1
COQ7	NDUFAF1
COQ4	NDUFB10
TWNK	UQCRC2
TWNK	MRPS11
NDUFS2	UQCR10
NDUFAF1	NDUFB8
NDUFA8	NDUFB7
MRPS25	QRSL1
MRPS25	POLRMT
MRPS24	POLG
MRPS14	POLG
MRPS11	MRPS16
MRPL4	MRPL21
MRPL4	MRPL16
MRPL46	MRPS5
MRPL40	MRPS14
MRPL38	MRPL39
MRPL15	MRPS5
KIAA0391	TARS2
KIAA0391	PTCD3
FARS2	MTPAP
EMC1	EMC3
EARS2	WARS2
EARS2	TRUB2
COA7	LRPPRC
COA6	MRPS6
TWNK	MRPL10
AARS2	MRPL39
NDUFA6	NDUFAF3
NDUFA6	NDUFA10
NDUFA11	NDUFAF1
MTG2	PTCD3
MTERF4	MTG1
MRPS2	MRPS12
MRPS12	WARS2
MRPL57	RARS2
MRPL47	MRPS2
MRPL40	MTG2
MRPL39	PTCD3
MRPL33	MRPS16
MRPL18	MTG1
MIPEP	MRPL43
MARS2	MRPL4
EARS2	TARS2
EARS2	MRPL3
CYC1	NDUFB8
COX4I1	NDUFS2
COQ4	CYC1
COA7	MRPS16
SULT1E1	ZNF99
SSBP1	TFB2M
NSUN4	SSBP1
NDUFS5	PET117
NDUFAF7	NDUFB6
NDUFAF5	NDUFC1
NDUFA6	NDUFAF7
NARS2	TFB1M
MTG2	TFB1M
MTG1	TRUB2
MRPS6	RPUSD4
MRPS6	PET117
MRPS5	MRPS6
MRPS22	MRPS23
MRPS11	MRPS18C
MRPL4	MRPL15
MRPL46	MTERF3
MRPL46	MRPL47
MRPL41	MRPS11
MRPL40	MRPS11
MRPL21	PTCD3
MRPL13	MRPS6
FAM200B	RNF19A
EARS2	TFAM
TWNK	MRPL23
AARS2	MRPL43
TFB1M	VARS2
POLG	TFB1M
NDUFAF4	NDUFV2
NDUFA8	UQCRC2
MTG2	MRM3
MTG1	SSBP1
MRPS6	TFB2M
MRPS11	MRPS34
MRPL43	MRPL55
MRPL28	MRPS25
MRPL17	MRPS18B
MARS2	MRPS22
LRPPRC	MTG2
LARS2	WARS2
ISCA2	NDUFB10
GTPBP8	GTPBP10
EARS2	MRPL40
COX4I1	SCO2
COA6	NDUFS5
COA6	CYC1
TWNK	WARS2
TWNK	TFB2M
AARS2	TFB1M
STN1	TEN1
NDUFS8	PET117
NDUFB3	NDUFC1
NDUFB2	NDUFB8
NDUFAF5	NDUFS5
NDUFA11	NDUFB2
MRPS24	QRSL1
MRPS23	YARS2
MRPS17	MTG2
MRPS12	MTPAP
MRPL46	MTPAP
MRPL43	TFAM
MRPL40	RARS2
MRPL23	MRPS2
MRPL18	YARS2
MRPL18	MRPS18C
LRPPRC	MRPS14
KIAA0391	MRPL47
GFM1	MRPL23
FOXRED1	NDUFB8
FOXRED1	NDUFAF4
FARS2	TFB1M
EARS2	SLC25A26
DDX28	MALSU1
DAP3	MRPS25
COX4I1	NDUFS1
COQ7	FOXRED1
TWNK	MRPL28
TWNK	DARS2
BCS1L	COA7
AARS2	MRPS24
PET117	UQCR10
NDUFV2	PET117
NDUFB3	UQCRC2
NDUFAF7	NDUFS1
MRPS5	MRPS24
MRPS2	TFB1M
MRPS11	PET117
MRPL4	MRPS6
MRPL49	MRPS31
MRPL39	MTERF3
MRPL32	MRPS18C
MRPL23	MRPL40
MRPL21	MRPL32
MRPL20	MRPS14
MRPL17	MRPL21
MRPL15	RARS2
MRPL15	MRPL47
MRPL12	MRPL15
MRPL10	MTG1
MRPL10	MRPL46
LRPPRC	NDUFAF1
KIAA0391	MRPS18B
GTPBP10	POLG
GNPDA2	RNF19A
GATC	MRPS6
EARS2	MTERF3
DDX28	MRPL46
DDX28	MRPL43
COA7	MRPL33
COA7	HARS2
COA6	UQCR10
TWNK	TFB1M
TWNK	MTG1
AARS2	MRPS12
AARS2	MRPL21
PTCD3	TARS2
NDUFB3	NDUFB10
NDUFB10	PET117
MTG2	POLG
MRPS25	NSUN4
MRPL49	MRPS11
MRPL40	TRUB2
MRPL39	WARS2
MRPL39	NARS2
MRPL28	MRPL39
MRPL21	MRPS18B
MRPL20	SARS2
MRPL20	NSUN4
MRPL20	MRPS24
MRPL12	MRPL39
MRPL10	MRPS22
MRPL10	MRPL55
KIAA0391	TRUB2
KIAA0391	TFB1M
KIAA0391	MRPL2
KIAA0391	MRPL10
FARS2	GFM1
EARS2	MRPS10
DDX28	MRPL20
COA7	MRPL43
COA6	NDUFV2
COA6	COX6B1
TWNK	YARS2
TWNK	MRPL57
BRAF	MAPK1
AARS2	QRSL1
AARS2	MRPL10
RARS2	TARS2
PTCD3	QRSL1
OCLM	TATDN1
NDUFA10	NDUFB6
MRPS25	MRPS33
MRPS17	TFB1M
MRPS14	TFB1M
MRPS12	MRPS25
MRPL48	MRPS6
MRPL48	MRPS24
MRPL47	MTG1
MRPL46	MRPL57
MRPL46	MRPL53
MRPL43	RPUSD4
MRPL40	MRPS24
MRPL32	MRPL53
MRPL23	WARS2
MRPL23	VARS2
MRPL21	RPUSD4
MARS2	MRPL49
LRPPRC	MRPS16
LARS2	MRPL12
KIAA0391	MRPS25
