GENEA	GENEB
GTF2F1	PLRG1
GTF2E2	UBAP1
GPN1	RABGGTB
GOLGA6L6	RTFDC1
GINS4	WDR33
GINS4	OR2T33
GCSH	UQCRC1
GANAB	STT3A
GADD45GIP1	SLC25A51
MRM2	PNPT1
FKBPL	TRMT6
FKBP3	OR10Z1
FH	LIPT1
FECH	TARS2
FECH	PAICS
FECH	MDH2
FDXR	SARS2
FDXR	GFM2
FASTKD5	MINOS1
FARSA	WDR70
FAM25A	TRPV3
EXT1	FRS2
EXOSC9	USP39
EXOSC5	SDAD1
EXOSC5	GGPS1
EXOC2	EXOC8
ELMO2	VCL
EIF4A3	SBNO1
EIF4A3	GBF1
EIF3CL	TNNT1
EEF1B2	HMGA1
ECSIT	MRPS15
ECSIT	FECH
DSCR4	OR5K2
DSCR4	GINS4
DOLK	THG1L
DOHH	PKM
DOHH	NELFCD
DNLZ	MRPL23
DNLZ	EARS2
DNAJC17	TTC30A
DLG1	TBC1D3C
DHX30	PNPT1
DHX30	MRPS23
DHX30	MRPL1
DHX30	MRM2
DDX20	SYT1
DAP3	MRPS18A
CYFIP1	SNRPG
CYFIP1	ERH
CWC27	GTF3C2
CWC27	DNAJC17
CTPS1	DCPS
CTAGE15	RNF5
CSE1L	WDR33
CSE1L	SRRM1
CSE1L	SF3B6
CPSF3	MCM6
COX7C	SDHD
COX6C	MRPL58
COX5A	ISCA1
COX4I1	PYURF
COX19	MRPL22
COX17	NDUFS5
COX16	RMND1
COX16	MRPL35
COX15	COX20
COX14	NDUFB10
COQ5	MIPEP
COQ2	CYCS
COA6	TEFM
COA5	MRPL52
CIAO1	KDM8
CHGA	ISCU
CHEK1	RAN
CENPN	RARS
CENPL	NARS
CDAN1	MRPS30
CDAN1	MARS2
CD3EAP	DNLZ
CCT8	UBE2I
CCT8	TRAPPC3
CCT7	EXOSC9
CCT6A	SNAPC4
CCT3	CHGA
CCDC159	EXOSC5
CCDC115	RPIA
KNL1	SKA1
CARS	MIS12
CAPRIN1	EDF1
CAD	YRDC
CAD	GCLC
C9orf78	OR5H1
C9orf78	FAM35A
SPOUT1	LCE1A
C1QBP	UQCRQ
C1QBP	UQCRB
C12orf65	MTFMT
C12orf65	MRPL55
C12orf65	MRPL2
C12orf65	ISCA2
BSND	TSSK3
BRPF1	DOT1L
BNIP3	SELENOW
BCS1L	DHX30
BCL2	GFI1
BANF1	EIF5B
B3GALT6	NDST1
AZIN1	PPAT
AURKB	POLR2G
AURKAIP1	COX10
ATXN10	SGO1
ATPAF2	MRPL22
DMAC2	MRPS23
ATP5PO	NDUFS3
ATP5PO	NDUFB5
ATP5PO	MRPL55
ATP5PO	COX16
ATP5MG	GFM1
ATP5PF	PDE12
ATP5PD	SARS2
ATP5PB	YARS2
ATP5PB	SLC25A26
ATP5F1D	PDSS1
ATP5F1D	MRPL51
ATP5F1D	MFN2
ATP5F1D	DAP3
ATP5F1C	MRPL22
ATP5F1A	TIMMDC1
ATP5F1A	MRPL58
ARRB1	CWC27
ARPC4	TIMM9
ANTXRL	SLAMF9
ANAPC1	PSMC4
ANAPC10	GGPS1
ALG11	PSMC1
ALG11	OR1J4
ALAD	TRPM7
AGBL4	PSMA4
AGAP6	SMR3B
AGAP5	WBP1L
ADAT3	DPH5
ACTR2	ACTR3
TXN2	UQCRB
TUFM	YARS2
TOMM70	YBEY
TMEM242	YBEY
TIMMDC1	UQCC1
TBRG4	TFAM
TBCD	ZNF254
TAF2	TRMT5
TAF1A	WDR70
TADA2A	ZZZ3
SF3B6	ZNF468
SDAD1	SRRM1
RPUSD3	UQCRC1
RPL39L	ELOC
RPL35A	TXNL4B
REV1	SMU1
RBBP4	RTTN
RANGAP1	TBC1D3H
RAD52	SF3B6
PTCD3	SLC25A51
PSMA4	PSMD13
PRPF19	SMU1
PRC1	U2AF1
PRC1	RPF2
PRAMEF17	SH3RF2
PPP1R27	TBX2
PPHLN1	RAP1B
PPA1	TRMT61A
POU5F1B	SEC13
POLR1B	TPRKB
POLG	SLC25A51
PNISR	TIPIN
PITRM1	TRUB2
PHF5A	PUF60
PHF5A	PPIE
PFAS	PPCS
PDSS1	UROS
PCDH1	TUBB3
ORC5	RTFDC1
ORC5	RTCB
ORC3	TRNT1
OR8D1	TPP2
OR5K2	SLC39A5
OR5K2	REV1
OR2T33	SNRPG
OR1D2	SMR3B
OR10Z1	SLC31A2
NUP160	WSCD2
NSA2	PPIL2
NSA2	NSRP1
NPM1	RPL36AL
NOL9	TIMM10
NOA1	UQCRFS1
NGRN	SLC30A9
NGDN	SDAD1
NEDD8	WDR33
NEDD8	RPL18
NEDD8	OR4C6
NDUFC1	TUFM
NDUFA2	PNPT1
NDUFA10	UQCC2
MTRNR2L6	OR5H1
MRPS35	SLC25A51
MRPS35	NME6
MRPS34	TBRG4
MRPS23	TBRG4
MRPS23	SDHB
MRPS22	TEFM
MRPS15	NDUFS8
MRPL52	MTG1
MRPL50	SCO1
MRPL46	PYURF
MRPL32	TOMM70
MRPL32	ROMO1
MRPL30	PITRM1
MRPL24	MTO1
MRPL22	UQCRQ
MRPL20	PITRM1
MRPL1	MRPS10
MRPL19	NDUFV1
MRPL14	OXSM
MRPL11	MRPL52
MRPL10	SURF1
MRGPRE	NEDD8
MRE11	NGDN
MPV17L2	TRUB2
MMS19	VEZT
MIS12	UBE2I
MINOS1	MRPS34
MFN2	TRMT10C
MFN2	MRPS18C
METTL14	METTL16
MED4	RAP1B
MED27	PNISR
MED20	RANGAP1
MCM6	USP5
MCAT	NDUFA9
MAD2L1	SNRPG
LTV1	SRP54
LSM10	RARS
LSM10	PSMA4
LRRC37A	MTRNR2L1
LRRC1	SULT6B1
LMAN2	PSMC1
LIPT1	PARS2
LIPT1	NDUFB8
LIPT1	MTG1
LIPT1	MRPS2
LIN52	LRRC37A
LGALS9B	TICAM2
LCE3C	LSM5
LCE1B	TUBA3D
LCE1A	PCDH1
LAMTOR1	WDR24
KRTAP5-3	TOM1L2
KRT18	OR4E2
KRT18	LSP1
KLHL38	TRPA1
KCNC3	SNRPD1
KCNC3	LRRC28
ISCA1	TFAM
INTS1	SMR3B
IMPDH1	SLC16A5
HNRNPL	LARS
HARS2	PTPMT1
GTF2F1	MIS12
GTF2E2	MED7
GTF2E2	MED27
GOSR2	PSMA1
GOLGA8N	SNRPG
GOLGA8N	OR2T33
GOLGA6D	PSMA2
GNPDA2	PRRC2C
GLUL	MRGPRE
GINS4	LTV1
GAPDH	PSMB7
GALP	HIST1H2AI
GADD45GIP1	TMEM242
GADD45GIP1	GTF3C4
FPGS	SLC7A1
FOXA1	GATA3
FH	MRPS23
FDX1	NDUFA8
FARSA	TRNT1
FARS2	SLC25A3
FAM35A	ORC4
EXOSC5	LRRC37A
ERAL1	PYURF
EPN3	OR1J1
EIF3CL	JAZF1
EIF2B1	PDCL3
ECD	PSMA2
DSCR4	PREB
DOLK	TPI1
DNAJC17	OR2M3
DNAJC17	HAMP
DLD	MRPL28
DHX38	PNISR
DHX30	MRPS18A
DHX30	MRPL45
DDX54	MAD2L1
DDX28	ISCA1
DCLRE1B	MDM4
DAP3	SDHB
CYFIP1	RHEB
CYC1	POLRMT
CWC25	RPF2
CTR9	TAF1A
CSE1L	MED4
CSE1L	HMGN2
CPQ	OR4C16
COX5A	QRSL1
COX5A	MRPS35
COX19	ISCA1
COX18	TFB2M
COX18	NSUN4
COX16	DLD
COX14	MRPL53
COX14	MRPL48
COX11	ECSIT
COQ6	NDUFS2
COQ4	LIAS
COQ4	DHX30
COPZ1	PLRG1
COPS3	DSN1
COPB2	TNFAIP2
COA3	SLC30A9
COA3	NME6
CHGA	WSCD2
CHGA	MCM6
CHGA	EIF4A3
CFAP20	WDR83
CENPN	SMR3B
CD3EAP	RAD50
CCT6A	OR5H1
CCT3	ZFP90
CCT3	NSF
C8orf33	OR2T27
C1QBP	COA5
C1orf109	SLC25A26
C1orf109	MRPL46
C19orf12	ZNF720
NDUFAF8	UQCRQ
NDUFAF8	MRPL55
NDUFAF8	CYCS
C12orf65	YARS2
C12orf65	COQ2
AURKAIP1	PDSS2
ATPAF2	TRMT10C
ATPAF2	MRPL15
ATP6V1C1	WDR70
ATP6V1C1	USP17L10
ATP6V1C1	SPHAR
ATP6V1C1	CCDC159
ATP6V0D1	POMP
ATP6V0D1	EIF3CL
DMAC2	MRPS18C
ATP5PO	MRPS15
ATP5PO	COX7C
ATP5MG	MRPS33
ATP5PD	TIMMDC1
ATP5PD	NDUFAF7
ATP5PD	MRPS5
ATP5PD	MRPL35
ATP5PD	COA7
ATP5F1D	MRPS23
ATP5F1B	MRPL38
ATP5F1A	NDUFAF1
ASNSD1	PPHLN1
ARPC4	NUF2
AQR	SYT1
ANAPC11	POLR3F
ANAPC10	POLR3B
ALG11	USPL1
ALG11	SPHAR
ALAS1	PPAT
AGAP6	POU5F1B
ADSS	UROD
ADAT3	FKBPL
ADAT2	NELFB
ACTR6	NDOR1
ABCE1	HNRNPA3
ABCE1	DCTN4
ABCE1	CSF2
USP5	VN1R2
TRAPPC3	TXNL4B
TNF	TOM1L2
THG1L	TRMT112
TBRG4	UQCRQ
SPRTN	TICAM2
SPDYE3	ST13
SNRPG	TOP1
SNAPC4	ZNF680
SMU1	SRP68
SMC6	WDR12
SLC7A8	SMU1
SLC25A3	TAMM41
SGO1	UFC1
SF3B6	SLC7A8
SDAD1	TAF1A
SCO2	RCC1L
SACM1L	SRP54
RPL35A	XRCC5
RPL35A	USP17L10
RPL35A	SDAD1
RPL18	ELOC
RGPD4	TBCD
RFFL	SLC25A25
REV1	SNRPD1
RARS	TRAPPC11
RAP1B	SLFN13
RANGAP1	SYT1
RAD52	TIGD1
QRSL1	RPUSD3
PSMA4	RFC4
PRC1	TICAM2
PPHLN1	TATDN1
POMP	TAF2
POLR2E	ZCCHC9
POLR1B	YARS
PNRC2	RAP1A
PNPT1	PPA2
PLRG1	POMP
PHACTR4	WWTR1
PGGT1B	POMP
PDCL3	PSMA4
PCDH1	RIPK3
ORC5	WDR33
ORC3	USP17L10
OR7D4	SARS
OR6F1	PSMA6
OR6F1	PRAMEF17
OR5H1	TBCD
OR2T33	RPL39L
OR13D1	PRAMEF17
OPA1	TRUB2
OGDH	PGM3
NOL12	ZBTB8OS
NME6	NUBPL
NGDN	PPIE
NELFCD	TIMM9
NEDD8	VCP
NEDD8	RGPD4
NDUFS2	NME6
NDUFB8	SURF1
NDUFAF4	TXN2
NDUFAF1	TOMM70
NDUFA13	NDUFS2
NARS	TBCD
NARS2	PGS1
MTRNR2L1	ZNF85
MTRF1L	RARS2
MTOR	RPTOR
MRPS9	TOMM70
MRPS34	MTO1
MRPS33	NDUFAF3
MRPS31	TEFM
MRPS28	SLC25A51
MRPS28	RNASEH1
MRPS14	PYURF
MRPL9	NME6
MRPL57	SLC30A9
MRPL52	MRM3
MRPL37	NDUFA3
MRPL34	RCC1L
MRPL32	RNASEH1
MRPL23	N6AMT1
MRPL21	NDUFA13
MRE11	SARS2
MIS12	TAF2
MINOS1	MRPS23
MFN2	MRPL43
MFN2	MRPL22
METTL14	TRMT61A
MED19	TADA3
MECR	WARS2
MDH2	PET117
MCM6	PPARGC1B
MARS2	UQCC2
MARS2	ROMO1
LTV1	XRCC5
LTV1	SUPT16H
LSM6	TIPIN
LRRC28	PSMA2
LRRC1	ATP5MD
LIPT2	MRPS6
LIPT1	MRPL41
LETM1	TIMM10
LCE1A	LIN52
LARS	SACM1L
KRT18	TNNT1
KRT18	POTEG
KIF11	TPP2
IYD	SRP54
IYD	LSM6
ISCA2	MRPL30
ISCA1	LIAS
IPPK	PGM3
IMPA1	NCALD
IARS	LARS
HMGN2	SRP68
HMGB1	POU5F1B
HIST1H2AC	MIS18A
HGF	PSMA1
HAUS1	PAXBP1
HAMP	OR7D4
GYS1	ZBTB4
GTPBP3	NDUFS8
GTF3C2	SNAPC4
GTF2H4	HSCB
GPN1	NUF2
BICRA	TAF5L
GINS4	SNRPD1
GFM2	TEFM
GATC	NFU1
GALP	TOM1L2
GADD45GIP1	DMAC1
FDX1	HARS2
FARSA	RFC5
FARSA	PPIE
ETF1	ZFP90
ERBB2	PIK3CA
EIF5B	PSMC1
EIF4B	MTRNR2L6
EIF4A3	KCNC3
EIF4A3	IDI2
EIF3CL	OR1D2
EIF2B1	PSMB7
EEF1B2	NUDT4
EARS2	TOMM70
DSN1	TBCD
DLGAP5	GNPDA2
DHPS	MRPS5
DHDDS	SMU1
DENND2C	RNF19A
DEK	NBEAL1
DEK	MCM6
DEF8	SMR3B
DDX54	U2AF1
DDX52	TPRKB
DDX52	PRPF4B
DDX10	PDCL3
DCTN1	NEDD8
CYCS	MRPS5
CYC1	ZBTB11
CWC27	WSCD2
CWC25	TRAPPC3
CS	PDHB
COX6A1	TBRG4
COX5A	MRPL2
COX20	UQCRC1
COX20	MRPL48
COX20	MRPL4
COX19	MTO1
COX17	WARS2
COX17	MTG2
COX16	SDHB
COX15	RCC1L
COX14	MRPL52
COX14	MRPL35
COX11	MRPL47
COQ6	MRPL23
COQ4	NDUFA4
COQ4	LIPT1
COQ4	COX20
COQ2	MRPS2
COPS3	RARS
COPB2	RABGGTB
CNEP1R1	LMNB1
CLP1	PES1
CLNS1A	LSM5
CHGA	PSMD11
CENPL	SRP9
CDAN1	MRPL57
CCT7	REV1
CCT7	CTR9
CCT6A	USP39
CCT6A	TRAPPC3
CCT6A	TOM1L2
CCT6A	OR8D1
CCT5	LCE1A
CCNT2	ZNF676
CCNT2	TAS2R10
CCNK	MED27
WASHC3	COMMD2
CCDC159	SLC35G6
CCDC159	KRTAP5-3
CARS2	GTPBP3
C8orf82	NIPAL2
C8orf33	LCN8
C8orf33	CHAMP1
C7orf50	NBEAL1
C1QBP	MRPL27
C1orf109	PRMT5
C1orf109	MRPL16
C19orf12	ZNF559
C19orf12	TNFAIP2
NDUFAF8	SCO2
RTRAF	MMS19
C12orf76	NPIPA5
C12orf65	NDUFAF7
TWNK	SDHB
BUB3	C1orf109
BTF3	TOP3A
BTF3	POMP
BNIP1	TXNL4B
BNIP1	REV1
BANF1	TBC1D3H
AURKAIP1	NDUFB3
ATP6V1C1	ECT2L
ATP6V1C1	CYFIP1
DMAC2	NSUN4
ATP5PO	TBRG4
ATP5PO	MTG1
ATP5MG	MRPS22
ATP5PD	TXN2
ATP5MC1	GALK1
ATP5PB	NDUFB4
ATP5F1E	DMAC1
ATP5F1D	MRPL58
ATP5F1B	MCAT
ATP5F1A	SUPV3L1
ATP5F1A	MTERF4
ASNSD1	UGT2B11
ASCC3	SLC38A11
ASB4	VN1R2
ASAH2B	OR2T33
ARRB1	RAD52
ARPC4	EXOSC9
ARID3A	USP17L10
ARID3A	SLC35G6
ARID3A	NUMBL
ANKRD49	HSPA14
ANKRD18A	VN1R2
ANKRD18A	FGF10
ANAPC1	TUBA1A
ANAPC1	NAA50
ANAPC1	GOSR2
ANAPC10	LTV1
ALX3	PSMB7
ALG9	SPHAR
ALG11	VCP
ALAS1	GART
AHCY	GNPNAT1
AGAP6	GOLGA6L6
ADAT3	CIAO1
ADAT2	PPA1
ACAD9	TOMM70
ABCG1	C9orf129
ABCE1	ZCCHC9
ABCE1	RHEB
ABCE1	CPQ
ABCC3	NPIPA5
USP17L5	ZNF559
TRMT6	WDR12
TRAPPC3	UBE2I
TPI1	TRMT6
TOP3A	TPRKB
TOMM70	TRMT61A
TFG	VPS37A
ELOC	TOP3A
TAF1A	TPRKB
SRP9	VEZT
SNAPC1	SNAPC2
SLC20A1	UMPS
SELENOP	USP17L10
SEC61G	SF3B6
SEC13	YARS
SCO2	TEFM
SBNO1	ZNF382
SASS6	TUBD1
RPL39L	UTP6
RPL18	TPRKB
RPF2	XRCC5
RPA3	SRP54
MRM3	UQCC1
RNF14	STRN
RHEB	RTFDC1
RFFL	SPDYE1
RFC5	TAF1A
RCC1	RFC5
RBM42	THOC1
RBM15	WTAP
RARS	UFC1
PYURF	SCO2
PTPN23	VPS37A
PSME1	UBXN4
PSMB7	RARS
PSMA4	WSCD2
PRX	ZFAND5
PPA2	TRUB2
POU5F1B	SOCS5
POTEG	SPDYE3
POLR3F	THOC5
POLR2E	U2AF1
PLRG1	PSMB2
PHF5A	POU5F1B
PFAS	PGM3
PET117	TUFM
PES1	SELENOP
PDE12	PNPT1
ORC5	UTP6
ORC4	POMP
ORC3	ZBTB8OS
OR8D1	TMED8
OR5H1	SH3RF2
OR4E2	UBXN4
OR4C6	TICAM2
OR2T33	SRP68
OR2M3	POTEG
OR10Z1	RANGAP1
NUTF2	SNRPD3
NSA2	POU5F1B
NOA1	TUFM
NGDN	PSMA1
NGDN	PPIL2
NEDD8	NUMBL
NDUFB8	TUFM
NDUFB3	SDHB
NDUFAF6	NSUN4
NDUFA6	RCC1L
NDUFA11	TUFM
NBEAL1	RNF14
N6AMT1	SLC25A26
MYADM	ZBTB4
MTRF1L	SLC25A26
MSTO1	PDCD5
MRPS9	TUFM
MRPS7	TEFM
MRPS31	SURF1
MRPS25	TBRG4
MRPS22	PYURF
MRPS17	RTCB
MRPS11	SPATA5L1
MRPL9	RNASEH1
MRPL54	MRPS15
MRPL52	MRPS6
MRPL44	NDUFB3
MRPL35	PDSS1
MRPL27	PNPT1
MRPL17	TRIAP1
MRPL15	PITRM1
MRPL11	NDUFB7
MRPL10	UQCC3
MIS18BP1	SULT1E1
MIS12	SMC6
MFN2	TIMM13
METTL14	UTP6
MDH2	NDUFV2
MDC1	RHNO1
MCAT	MRPL52
MARS2	PYURF
MARS2	NDUFV1
MAD2L1	RPS21
LSM6	OR5H1
LMAN2	POLR2E
LIPT1	VARS2
LIG3	TRMT10C
LIG3	MRPL30
LIAS	NDUFAF7
LETM1	POLG2
LCE1A	RANGAP1
LARS	LSM6
KRTAP5-3	LRRC37A
KRT28	TATDN3
KRT18	ZNF720
KEAP1	TSC2
KCNC3	SAA1
KCNC3	RNF14
KAT2A	SUPT20H
JAZF1	PSMC1
IYD	TUBA3D
ISCU	MIS12
ISCA1	MIPEP
IMPDH2	TFRC
IL12RB2	PPHLN1
MRPL58	TBRG4
MRPL58	PYURF
MRPL58	POLRMT
HSCB	KDM8
HSBP1	WASF2
HNRNPL	PSMA4
HMBS	UQCRQ
HMBS	LARS2
HGS	RAB7A
HARS	POLR2G
GTPBP3	SSBP1
GTPBP10	MFN2
GTF2H3	WDR12
GTF2H3	RCC1
GTF2F1	SLC7A8
GTF2E2	TBCD
GTF2E2	ISCU
GRSF1	MRPL11
GOSR2	SUPT16H
GOLT1B	SMC6
GOLGA8N	PRAMEF17
GOLGA6L6	SPDYE1
GNPDA2	TCEANC2
GJA3	LRRC28
GCLC	IPPK
GBF1	MTBP
GAPDH	LRRC37A
GAPDH	LCE1A
GALP	PSME1
GADD45GIP1	NDUFB4
GADD45GIP1	MRPL27
MRM2	SLC25A51
FMO1	MRGPRE
FGG	RNF19A
FECH	MRPS31
FDXR	PPP4C
FARSA	WDR33
EXT2	TMEM165
EXOSC9	SNRNP48
ETFB	TSPYL5
ETFB	INTS2
ERH	OR5K2
ERH	GOLGA6L6
ERCC3	RFC5
ERCC3	ORC5
ERAL1	NSUN4
EIF5B	PRAMEF17
EIF5B	LRRC28
EIF4A3	ZNF559
EIF4A3	OR2T33
EIF3CL	SNAPC4
EIF3CL	SLC35G6
EIF3CL	PLEKHG3
EIF3CL	HNRNPK
ECSIT	MRPS21
DSCR4	SLC35G6
DPH3	RPP21
DOLK	PPA2
DOCK5	RAC1
DNAJC11	HTRA2
DHX15	OR2M3
ESS2	RANGAP1
DEK	ZNF680
DDX28	MFN2
DDX10	LCE1A
DCTN4	PSMB7
DCTN1	LCE1B
DCPS	GFM2
DCAF4L2	ZHX2
DARS2	UROS
DARS2	HMBS
CYFIP1	OR5K2
CYCS	DLST
CYC1	MRPS33
CWC27	NUTF2
CTDP1	PSMA4
CTDP1	HNRNPK
CTAGE9	OR2T33
CSE1L	WSCD2
CSE1L	PES1
CPQ	GOLGA6L6
COX6B1	NME6
COX6A1	MRPS9
COX6A1	GRSF1
COX5A	NSUN4
COX20	NDUFS1
COX20	GFM2
COX20	CYCS
COX17	GADD45GIP1
COX15	SLC25A3
COX15	MRPL22
COQ7	MRPL45
COQ6	MRPL18
COQ6	IBA57
COQ5	SSBP1
COQ5	MRPS15
COPS3	UBE2I
COPS3	NCAPH
COPS3	NAA20
COPB2	RAD52
COA3	SURF1
CNEP1R1	LEMD3
CHGA	TRAPPC3
CHGA	TRAPPC11
CHGA	KCNC3
CHEK1	PSMD11
CHEK1	EIF3CL
CENPN	DDX10
CENPL	TXNL4B
CDC73	SF3B6
CCT7	SRP9
CCT3	GTF3C2
CCT2	LSM5
CCNT2	FAM200B
CCDC78	TUBB2A
CCDC159	OR4D9
CARS2	LIG3
CAPRIN2	SMR3B
CAD	DTYMK
SPOUT1	PRAMEF17
SPOUT1	NEDD8
C2orf68	ZFC3H1
C1orf109	MTG1
C12orf76	LRRC37A
TWNK	MRPL1
BTF3	CCDC159
BRD9	TADA2B
BRD2	TAF5
BNIP1	SMC6
BNIP1	EXOSC5
BANF1	NOL11
AZIN1	UMPS
AURKB	CHGA
ATXN10	RFC4
ATXN10	LCE1A
ATPAF2	PARS2
ATPAF2	MARS2
DMAC2	NDUFB9
ATP5PO	COA7
ATP5PD	MIPEP
ATP5F1D	MTO1
ATP5F1A	TOMM70
ATP5F1A	NDUFB8
ASCC3	SULT6B1
ASB4	PPM1E
ASAH2B	SRP54
ASAH2B	MKNK1
ARPC4	CCT2
AP2S1	CTPS1
ANAPC4	SYT1
ANAPC1	SKA3
ANAPC10	POLR3A
ANAPC10	GOLGA6D
ALG1L	SLC35G6
AGAP6	OR5H1
ADSS	COASY
ACTR3	NARS
ACAD9	TBRG4
ABCE1	CBLN3
AASDHPPT	RPP21
WSCD2	ZNF254
U2AF1	ZNF720
U2AF1	ZNF559
TRNT1	UFC1
TRAPPC3	VCP
TELO2	TTI1
TEFM	TFAM
SPRTN	TBCD
SPIC	SULT1E1
SLC7A8	TBC1D3C
SLC25A28	TIMM22
SKP1	UFC1
SDAD1	TBCD
SASS6	TUBE1
RTFDC1	VEZT
RPL35A	UBE2I
RMND1	SSBP1
RGPD4	SPDL1
RFC5	SKP1
RFC4	TXNL4B
RARRES2	U2AF1
RANGAP1	USP39
PTPN2	STAT3
PSMD11	RGPD4
PSMA5	SF3B6
PSMA4	TXNL4B
PRSS50	SLC16A5
PRC1	SMC6
POLR3F	RPF2
POLR1B	RPL18
POLG	SLC25A3
POLE	SART3
PIGP	PIGW
PHF5A	SMR3B
PCDH1	SET
OXSM	PGS1
ORC4	USP37
OR5K2	PSMB7
OR5K2	PLRG1
OR5H1	SLC7A8
OR4C6	TRAPPC3
OR2M3	PSME1
OR2C3	TICAM2
OR1J4	SH3RF2
OR1J4	SACM1L
OR10C1	PRR30
NUTF2	REV1
NUMBL	RARRES2
NSUN4	TIMMDC1
NDUFB9	SLC25A26
NDUFB5	SDHB
NDUFB4	UQCC2
NDUFB4	SLC25A3
NDUFAF3	TUFM
NDUFA9	YARS2
NBEAL1	PHF5A
NBEAL1	OR7E24
NARS2	OPA1
MZF1	RHBDF1
MYADM	SF3B6
MYADM	OR1J4
MTO1	YARS2
MTHFD1	TKT
MTBP	OR1J1
MRPS9	MRPS33
MRPS34	PYURF
MRPS33	NME6
MRPS30	PTCD3
MRPS27	RPUSD3
MRPS27	POLG2
MRPS17	UQCRQ
MRPS17	TAMM41
MRPS15	NDUFB3
MRPL57	ZBTB11
MRPL54	NDUFB6
MRPL49	NUBPL
MRPL38	TBRG4
MRPL37	TOMM70
MRPL2	NFU1
MRPL28	TAMM41
MRPL23	TRMT61A
MRPL23	TBRG4
MRPL22	MRPS21
MRPL12	UQCC2
MRPL11	NUBPL
MRPL11	MRPL35
MRGPRE	U2AF1
MOG	OR1J1
MIPEP	ZBTB11
MED27	TRAPPC3
MED15	TAF5L
MED15	MED16
MAD2L1	NGDN
MAD2L1	NEDD8
LSM6	PHF5A
LSM6	PES1
LRRC37A	OR5K2
LRRC37A2	OR2T33
LONP1	MRPL21
LMAN2	ZNF169
LIPT1	NDUFAF3
LIPT1	MRPS35
LIPT1	MRPS11
LIG3	MRPL38
LETM1	MRPL44
LCE3C	SRP54
LCE1B	OR6F1
LCE1A	SPDYE3
LCE1A	MED20
KRT18	NUP160
KIF21B	UBQLN4
KCNC3	ZFP90
KCNC3	TBC1D3C
KANSL1	POLE
IYD	SOCS5
ISCA2	PET100
ISCA1	SCO1
IPPK	TFRC
INTS2	WSCD2
IGF2BP1	LIN28B
IARS	SMU1
HUS1	CIP2A
HTRA2	TIMM13
HSPA14	RNASEH2C
HNRNPL	TOM1L2
HNRNPL	SKA3
HNRNPA3	PPY
GTPBP8	TAMM41
GTPBP8	NDUFA13
GTPBP3	PTCD3
GOSR2	TTK
GOLGA8N	TXNL4B
GOLGA6L6	TRAPPC3
GOLGA6L1	TASP1
GALP	RFFL
MRM2	LIG3
FOXRED1	MDH2
FECH	POLG
FECH	NDUFC1
FECH	MRPS10
FECH	MRPL39
FDFT1	FDPS
FASTKD5	GCSH
FARSA	PWP2
FAM35A	WDR33
FAM200B	NME5
EXOSC5	IMP4
ETFB	LRRC28
ERBB3	TCAP
ERBB3	NEUROD2
ERAL1	ROMO1
EIF5B	TOP1
EIF4B	HMGB1
ECT2L	SLC35G6
E4F1	GTF3C4
DUXA	ZNF253
DSN1	SDAD1
DSCR4	TBCD
DSCR4	GOLGA6L6
DPPA2	MYO1H
DPH6	RAD50
DNAJC17	USP5
DNAJC17	SARS
DHX35	GPATCH1
DHDDS	SRP68
DDX6	ZNF559
DDX54	PRAMEF17
DDX28	DNAJC11
DCTN4	PSMA4
DCPS	RPP21
DCLK1	GNPDA2
CTDP1	PCDH1
CTAGE15	ZNF559
CSE1L	PSMC4
CRKL	WWTR1
CPQ	UBE2I
CPQ	SPATA31A7
COX7C	MRPL45
COX6C	DLST
COX5B	SLC25A3
COX4I1	SDHA
COX4I1	FDX1
COX17	COX18
COX14	MRPL16
COX14	CYCS
COQ2	QRSL1
COASY	PPAT
COA6	LIG3
COA5	NDUFA4
COA5	MRPL49
CKAP5	POU5F1B
CHGA	ZNF202
CHGA	LRRC37A
CHCHD4	MRPL22
CENPL	CHGA
CDIPT	VARS2
CDC73	DSCR4
CCT8	TOP3A
CCT5	GALP
CCT2	UTP6
CCNK	RPL35A
CCDC159	ZNF202
CCDC115	MRPL16
CAPN9	E2F6
C19orf12	SELENOP
C12orf65	NDUFB8
C12orf65	MRPS16
BTF3	ERCC3
BTF3	CPQ
BCS1L	MTRF1L
BANF1	ZNF559
AURKB	U2AF1
ATXN10	NUF2
ATP6V1C1	UTP6
ATP5MG	NDUFB10
ATP5MG	MRPS14
ATP5PF	TXN2
ATP5ME	RNASEH1
ATP5ME	MINOS1
ATP5F1E	COA3
ATP5F1D	MCAT
ATP5F1C	GADD45GIP1
ATP5F1B	QRSL1
ATP5F1A	MRPS18A
ATAD2	TRPA1
ASNSD1	CCNT2
ASB4	SARS
ASAH2B	RHEB
ARRB1	INTS2
ARGLU1	NUP153
ANAPC1	PAF1
ANAPC10	GPN1
ALG1L	GLUL
ALG11	MIS12
ALDOA	PGAM1
AIDA	SCAF1
AIDA	LYZL4
ADSL	ATP1A1
ADAT3	FDXR
ADAT2	RNASEH2A
ACTR10	POLR1B
ABCG1	MOG
ABCG1	DEK
ABCE1	SEC13
AARS2	COX20
WDR70	ZNF468
WDR70	WSCD2
UMPS	UROS
TUBD1	ZWILCH
THG1L	TRMT5
TFRC	WDR7
TBCD	TIPIN
TBC1D3H	WSCD2
TAMM41	TOMM20
SURF1	YBEY
SRP68	TRAPPC11
SPDYE3	WSCD2
SLC7A8	TBC1D3H
SET	ZNF202
