A	B
ABCC8	RIMBP2
PAX6	RIMBP2
CACNA2D2	RIMBP2
BAIAP3	RIMBP2
CELSR3	RIMBP2
MAPK8IP2	RIMBP2
SYT7	RIMBP2
ISL1	RIMBP2
CNTN1	RIMBP2
SYT13	RIMBP2
SLC4A8	RIMBP2
PTPRN	RIMBP2
KCNH2	RIMBP2
RASGRF1	RIMBP2
CAMK2B	RIMBP2
PSD	RIMBP2
ZNF800	QSER1
ARF5	ACAA1
PLXND1	HDAC7
ITGA3	HDAC7
CLCN6	HDAC7
TSPAN9	HDAC7
CLEC16A	HDAC7
TEAD3	LZTS1
MRC2	LZTS1
ADSS2	NCKAP1
MCUB	GUCY1B1
STAU2	GUCY1B1
RCN1	GUCY1B1
GGCT	CS
UTP18	CS
NDC1	CS
PRSS22	VMP1
TYMP	VMP1
NOP16	VMP1
ATP2B4	VMP1
YBX3	VMP1
STAU2	APPBP2
TAB2	APPBP2
GDE1	EIF4B
MBTPS2	EIF4B
STRAP	EIF4B
SEC63	EIF4B
PIK3CB	EIF4B
GDI2	EIF4B
CS	EIF4B
CROCC	BICRA
GIPR	CA11
BICRA	U2AF2
PRSS8	EPN1
ITGA3	GPC1
TMSB10	GPC1
TRIO	GPC1
HOMER3	GPC1
EPN1	HAGH
CYTH3	LIMCH1
WWTR1	LIMCH1
TIMP2	LIMCH1
CC2D2A	LIMCH1
HEBP1	TM7SF3
FHL1	CCN5
ADAM22	CDON
ADGRA2	CDON
PKP2	HIPK2
SYPL1	TNPO3
UTP18	TNPO3
NUB1	TNPO3
TTC27	TNPO3
PRICKLE3	TMEM161A
TSR3	LPAR2
OGFR	LPAR2
ITGA3	CTSA
TSPAN17	CTSA
ZC3H11A	SUGP2
BIRC3	SLC12A2
LAMC2	SLC12A2
SLC30A9	SNX24
GINM1	SNX24
VEZT	BTBD1
DCUN1D1	BTBD1
PRSS22	SBNO2
ITGA3	SBNO2
MAP3K14	SBNO2
TEAD3	SBNO2
PTBP1	SBNO2
PRICKLE3	SBNO2
BID	SBNO2
BCAR1	SBNO2
OGFR	SBNO2
HDAC7	SBNO2
BICRA	SBNO2
GPC1	SBNO2
MED24	HMG20B
CROCC	HMG20B
UBR2	TAF11
B4GALT7	AP3D1
ABCF2	AP3D1
USE1	AP3D1
IFFO1	NTHL1
SPHK2	NTHL1
ICA1	IPO5
GDE1	IPO5
RB1CC1	IPO5
RFC1	IPO5
PIK3CB	IPO5
CS	IPO5
ADIPOR2	OAT
ALDH18A1	WDR3
IPO5	WDR3
PLEKHA5	PKN2
CSDE1	KARS1
NUB1	KARS1
DERA	KARS1
UBR2	KARS1
RFC1	KARS1
PIK3CB	KARS1
EIF4B	KARS1
COX15	NDUFB4
HSPB6	MYLK
CYTH3	MYLK
DCN	MYLK
EPHA3	MYLK
SEC62	ZC3H15
CSDE1	ZC3H15
MTMR7	SNAP91
ABCC8	SNAP91
PAX6	SNAP91
CACNA2D2	SNAP91
BAIAP3	SNAP91
CELSR3	SNAP91
MAPK8IP2	SNAP91
SYT7	SNAP91
ISL1	SNAP91
CNTN1	SNAP91
SYT13	SNAP91
SLC4A8	SNAP91
PTPRN	SNAP91
KCNH2	SNAP91
RASGRF1	SNAP91
CAMK2B	SNAP91
PSD	SNAP91
RIMBP2	SNAP91
FNIP2	SLK
ATP2B4	SLK
MKS1	GSTO2
CTPS2	GSTO2
USP13	GSTO2
SEMA3F	TLE2
FLT4	TLE2
SUGP2	TLE2
SLC7A2	FAM107B
YBX3	FAM107B
ICA1	PPP2R5A
RB1CC1	PPP2R5A
