V1	V2
ACTR10	DYNC1I1
ACTR10	DYNC1I2
ACTR10	DYNC1LI1
ACTR10	DYNC1LI2
ACTR10	DYNLL1
ACTR10	DYNLL2
ACTR1A	AKAP9
ACTR1A	ALMS1
ACTR1A	ARF4
ACTR1A	CAPZA1
ACTR1A	CAPZA2
ACTR1A	CAPZA3
ACTR1A	CAPZB
ACTR1A	CCP110
ACTR1A	CDK1
ACTR1A	CDK5RAP2
ACTR1A	CENPJ
ACTR1A	CEP131
ACTR1A	CEP135
ACTR1A	CEP152
ACTR1A	CEP164
ACTR1A	CEP192
ACTR1A	CEP250
ACTR1A	CEP290
ACTR1A	CEP41
ACTR1A	CEP57
ACTR1A	CEP63
ACTR1A	CEP70
ACTR1A	CEP72
ACTR1A	CEP76
ACTR1A	CEP78
ACTR1A	CETN2
ACTR1A	CKAP5
ACTR1A	CLASP1
ACTR1A	CNTRL
ACTR1A	CSNK1D
ACTR1A	CSNK1E
ACTR1A	DCTN1
ACTR1A	DCTN2
ACTR1A	DCTN3
ACTR1A	DCTN4
ACTR1A	DCTN5
ACTR1A	DCTN6
ACTR1A	DYNC1H1
ACTR1A	DYNC1I1
ACTR1A	DYNC1I2
ACTR1A	DYNC1LI1
ACTR1A	DYNC1LI2
ACTR1A	DYNLL1
ACTR1A	DYNLL2
ACTR1A	FGFR1OP
ACTR1A	GBF1
ACTR1A	HAUS1
ACTR1A	HAUS2
ACTR1A	HAUS3
ACTR1A	HAUS4
ACTR1A	HAUS5
ACTR1A	HAUS6
ACTR1A	HAUS7
ACTR1A	HAUS8
ACTR1A	HSP90AA1
ACTR1A	MAPRE1
ACTR1A	NDE1
ACTR1A	NEDD1
ACTR1A	NEK2
ACTR1A	NINL
ACTR1A	ODF2
ACTR1A	OFD1
ACTR1A	PAFAH1B1
ACTR1A	PCM1
ACTR1A	PCNT
ACTR1A	PLK1
ACTR1A	PLK4
ACTR1A	PPP2R1A
ACTR1A	PRKACA
ACTR1A	PRKAR2B
ACTR1A	SDCCAG8
ACTR1A	SFI1
ACTR1A	SSNA1
ACTR1A	TUBA1A
ACTR1A	TUBA4A
ACTR1A	TUBB
ACTR1A	TUBB4A
ACTR1A	TUBB4B
ACTR1A	TUBG1
ACTR1A	YWHAE
ACTR1A	YWHAG
ACTR2	ACTR3
ACTR2	ARPC1A
ACTR2	ARPC1B
ACTR2	ARPC2
ACTR2	ARPC3
ACTR2	ARPC4
ACTR2	ARPC5
ACTR2	CDC42
ACTR2	CFL1
ACTR2	GRB2
ACTR2	LIMK1
ACTR2	PAK1
ACTR2	PTK2
ACTR2	RAC1
ACTR2	WASL
ACTR3	ARPC1A
ACTR3	ARPC1B
ACTR3	ARPC2
ACTR3	ARPC3
ACTR3	ARPC4
ACTR3	ARPC5
ACTR3	CDC42
ACTR3	CFL1
ACTR3	GRB2
ACTR3	LIMK1
ACTR3	PAK1
ACTR3	PTK2
ACTR3	RAC1
ACTR3	WASL
ACTR5	ACTR8
ACTR5	INO80
ACTR5	INO80B
ACTR5	INO80C
ACTR5	INO80D
ACTR5	INO80E
ACTR5	MCRS1
ACTR5	NFRKB
ACTR5	RAD23A
ACTR5	RAD23B
ACTR5	RPS27A
ACTR5	RUVBL1
ACTR5	TFPT
ACTR5	UBA52
ACTR5	UBB
ACTR5	UBC
ACTR5	YY1
ACTR8	INO80
ACTR8	INO80B
ACTR8	INO80C
ACTR8	INO80D
ACTR8	INO80E
ACTR8	MCRS1
ACTR8	NFRKB
ACTR8	RAD23A
ACTR8	RAD23B
ACTR8	RPS27A
ACTR8	RUVBL1
ACTR8	TFPT
ACTR8	UBA52
ACTR8	UBB
ACTR8	UBC
ACTR8	YY1
ACVR1B	ACVR1C
ACVR1B	ACVR2A
ACVR1B	ACVR2B
ACVR1C	ACVR2A
ACVR1C	ACVR2B
ACVR2A	ACVR2B
ADAM10	ADAM17
ADAM10	APH1A
ADAM10	APH1B
ADAM10	CNTN1
ADAM10	CREBBP
ADAM10	CUL1
ADAM10	DLL1
ADAM10	DLL4
ADAM10	EP300
ADAM10	FBXW7
ADAM10	HDAC6
ADAM10	HES1
ADAM10	HES5
ADAM10	HEY1
ADAM10	HEY2
ADAM10	HEYL
ADAM10	JAG1
ADAM10	JAG2
ADAM10	KAT2A
ADAM10	KAT2B
ADAM10	MAML1
ADAM10	MAML2
ADAM10	MAML3
ADAM10	MAMLD1
ADAM10	MIB1
ADAM10	MIB2
ADAM10	MMP2
ADAM10	NCSTN
ADAM10	NEURL1
ADAM10	NEURL1B
ADAM10	NOTCH1
ADAM10	PSEN1
ADAM10	PSEN2
ADAM10	PSENEN
ADAM10	RBPJ
ADAM10	RBX1
ADAM10	RPS27A
ADAM10	SKP1
ADAM10	SNW1
ADAM10	UBA52
ADAM10	UBB
ADAM10	UBC
ADAM17	APH1A
ADAM17	APH1B
ADAM17	CCNC
ADAM17	CDK8
ADAM17	CREBBP
ADAM17	CUL1
ADAM17	DLL1
ADAM17	DLL4
ADAM17	EP300
ADAM17	FBXW7
ADAM17	HDAC1
ADAM17	HDAC10
ADAM17	HDAC11
ADAM17	HDAC2
ADAM17	HDAC3
ADAM17	HDAC4
ADAM17	HDAC5
ADAM17	HDAC6
ADAM17	HDAC7
ADAM17	HDAC8
ADAM17	HDAC9
ADAM17	HES1
ADAM17	HES5
ADAM17	HEY1
ADAM17	HEY2
ADAM17	HEYL
ADAM17	JAG1
ADAM17	JAG2
ADAM17	KAT2A
ADAM17	KAT2B
ADAM17	MAML1
ADAM17	MAML2
ADAM17	MAML3
ADAM17	MAMLD1
ADAM17	MIB1
ADAM17	MIB2
ADAM17	MYC
ADAM17	NCOR1
ADAM17	NCOR2
ADAM17	NCSTN
ADAM17	NEURL1
ADAM17	NEURL1B
ADAM17	NOTCH1
ADAM17	PSEN1
ADAM17	PSEN2
ADAM17	PSENEN
ADAM17	RBPJ
ADAM17	RBX1
ADAM17	RPS27A
ADAM17	SKP1
ADAM17	SNW1
ADAM17	TBL1X
ADAM17	TBL1XR1
ADAM17	UBA52
ADAM17	UBB
ADAM17	UBC
ADAMTS1	ADAMTS14
ADAMTS1	ADAMTS16
ADAMTS1	ADAMTS18
ADAMTS1	ADAMTS2
ADAMTS1	ADAMTS3
ADAMTS1	ADAMTS4
ADAMTS1	ADAMTS5
ADAMTS1	ADAMTS8
ADAMTS1	ADAMTS9
ADAMTS1	THBS1
ADAMTS14	ADAMTS16
ADAMTS14	ADAMTS18
ADAMTS14	ADAMTS2
ADAMTS14	ADAMTS3
ADAMTS14	ADAMTS4
ADAMTS14	ADAMTS5
ADAMTS14	ADAMTS8
ADAMTS14	ADAMTS9
ADAMTS14	THBS1
ADAMTS16	ADAMTS18
ADAMTS16	ADAMTS2
ADAMTS16	ADAMTS3
ADAMTS16	ADAMTS4
ADAMTS16	ADAMTS5
ADAMTS16	ADAMTS8
ADAMTS16	ADAMTS9
ADAMTS16	THBS1
ADAMTS18	ADAMTS2
ADAMTS18	ADAMTS3
ADAMTS18	ADAMTS4
ADAMTS18	ADAMTS5
ADAMTS18	ADAMTS8
ADAMTS18	ADAMTS9
ADAMTS18	THBS1
ADAMTS2	ADAMTS3
ADAMTS2	ADAMTS4
ADAMTS2	ADAMTS5
ADAMTS2	ADAMTS8
ADAMTS2	ADAMTS9
ADAMTS2	THBS1
ADAMTS3	ADAMTS4
ADAMTS3	ADAMTS5
ADAMTS3	ADAMTS8
ADAMTS3	ADAMTS9
ADAMTS3	THBS1
ADAMTS4	ADAMTS5
ADAMTS4	ADAMTS8
ADAMTS4	ADAMTS9
ADAMTS4	THBS1
ADAMTS5	ADAMTS8
ADAMTS5	ADAMTS9
ADAMTS5	THBS1
ADAMTS8	ADAMTS9
ADAMTS8	THBS1
ADAMTS9	THBS1
ADAR	ADARB1
ADCY1	ADCY2
ADCY1	ADCY3
ADCY1	ADCY4
ADCY1	ADCY5
ADCY1	ADCY6
ADCY1	ADCY7
ADCY1	ADCY8
ADCY1	ADCY9
ADCY1	CALM1
ADCY1	CAMK2A
ADCY1	CAMK2B
ADCY1	CAMK2D
ADCY1	CAMK2G
ADCY1	CAMK4
ADCY1	CAMKK1
ADCY1	CAMKK2
ADCY1	CREB1
ADCY1	GNAI1
ADCY1	GNAI2
ADCY1	GNAI3
ADCY1	GNAL
ADCY1	GNAS
ADCY1	GNAT3
ADCY1	GNB1
ADCY1	GNB2
ADCY1	GNB3
ADCY1	GNB4
ADCY1	GNB5
ADCY1	GNG10
ADCY1	GNG11
ADCY1	GNG12
ADCY1	GNG13
ADCY1	GNG2
ADCY1	GNG3
ADCY1	GNG4
ADCY1	GNG5
ADCY1	GNG7
ADCY1	GNG8
ADCY1	GNGT1
ADCY1	GNGT2
ADCY1	GRK2
ADCY1	KPNA2
ADCY1	PRKACA
ADCY1	PRKACB
ADCY1	PRKACG
ADCY1	PRKAR1A
ADCY1	PRKAR1B
ADCY1	PRKAR2A
ADCY1	PRKAR2B
ADCY1	PRKCA
ADCY1	PRKCD
ADCY1	PRKCG
ADCY1	PRKX
ADCY2	ADCY3
ADCY2	ADCY4
ADCY2	ADCY5
ADCY2	ADCY6
ADCY2	ADCY7
ADCY2	ADCY8
ADCY2	ADCY9
ADCY2	CALM1
ADCY2	CAMK2A
ADCY2	CAMK2B
ADCY2	CAMK2D
ADCY2	CAMK2G
ADCY2	CAMK4
ADCY2	CREB1
ADCY2	GNAI1
ADCY2	GNAI2
ADCY2	GNAI3
ADCY2	GNAL
ADCY2	GNAS
ADCY2	GNAT3
ADCY2	GNB1
ADCY2	GNB2
ADCY2	GNB3
ADCY2	GNB4
ADCY2	GNB5
ADCY2	GNG10
ADCY2	GNG11
ADCY2	GNG12
ADCY2	GNG13
ADCY2	GNG2
ADCY2	GNG3
ADCY2	GNG4
ADCY2	GNG5
ADCY2	GNG7
ADCY2	GNG8
ADCY2	GNGT1
ADCY2	GNGT2
ADCY2	GRK2
ADCY2	KPNA2
ADCY2	PRKACA
ADCY2	PRKACB
ADCY2	PRKACG
ADCY2	PRKAR1A
ADCY2	PRKAR1B
ADCY2	PRKAR2A
ADCY2	PRKAR2B
ADCY2	PRKCA
ADCY2	PRKCD
ADCY2	PRKCG
ADCY2	PRKX
ADCY3	ADCY4
ADCY3	ADCY5
ADCY3	ADCY6
ADCY3	ADCY7
ADCY3	ADCY8
ADCY3	ADCY9
ADCY3	CALM1
ADCY3	CAMK2A
ADCY3	CAMK2B
ADCY3	CAMK2D
ADCY3	CAMK2G
ADCY3	CAMK4
ADCY3	CREB1
ADCY3	GNAI1
ADCY3	GNAI2
ADCY3	GNAI3
ADCY3	GNAL
ADCY3	GNAS
ADCY3	GNAT3
ADCY3	GNB1
ADCY3	GNB2
ADCY3	GNB3
ADCY3	GNB4
ADCY3	GNB5
ADCY3	GNG10
ADCY3	GNG11
ADCY3	GNG12
ADCY3	GNG13
ADCY3	GNG2
ADCY3	GNG3
ADCY3	GNG4
ADCY3	GNG5
ADCY3	GNG7
ADCY3	GNG8
ADCY3	GNGT1
ADCY3	GNGT2
ADCY3	GRK2
ADCY3	KPNA2
ADCY3	PRKACA
ADCY3	PRKACB
ADCY3	PRKACG
ADCY3	PRKAR1A
ADCY3	PRKAR1B
ADCY3	PRKAR2A
ADCY3	PRKAR2B
ADCY3	PRKCA
ADCY3	PRKCD
ADCY3	PRKCG
ADCY3	PRKX
ADCY4	ADCY5
ADCY4	ADCY6
ADCY4	ADCY7
ADCY4	ADCY8
ADCY4	ADCY9
ADCY4	CALM1
ADCY4	CAMK2A
ADCY4	CAMK2B
ADCY4	CAMK2D
ADCY4	CAMK2G
ADCY4	CAMK4
ADCY4	CREB1
ADCY4	GNAI1
ADCY4	GNAI2
ADCY4	GNAI3
ADCY4	GNAL
ADCY4	GNAS
ADCY4	GNAT3
ADCY4	GNB1
ADCY4	GNB2
ADCY4	GNB3
ADCY4	GNB4
ADCY4	GNB5
ADCY4	GNG10
ADCY4	GNG11
ADCY4	GNG12
ADCY4	GNG13
ADCY4	GNG2
ADCY4	GNG3
ADCY4	GNG4
ADCY4	GNG5
ADCY4	GNG7
ADCY4	GNG8
ADCY4	GNGT1
ADCY4	GNGT2
ADCY4	GRK2
ADCY4	KPNA2
ADCY4	PRKACA
ADCY4	PRKACB
ADCY4	PRKACG
ADCY4	PRKAR1A
ADCY4	PRKAR1B
ADCY4	PRKAR2A
ADCY4	PRKAR2B
ADCY4	PRKCA
ADCY4	PRKCD
ADCY4	PRKCG
ADCY4	PRKX
ADCY5	ADCY6
ADCY5	ADCY7
ADCY5	ADCY8
ADCY5	ADCY9
ADCY5	CALM1
ADCY5	CAMK2A
ADCY5	CAMK2B
ADCY5	CAMK2D
ADCY5	CAMK2G
ADCY5	CAMK4
ADCY5	CREB1
ADCY5	GNAI1
ADCY5	GNAI2
ADCY5	GNAI3
ADCY5	GNAL
ADCY5	GNAS
ADCY5	GNAT3
ADCY5	GNB1
ADCY5	GNB2
ADCY5	GNB3
ADCY5	GNB4
ADCY5	GNB5
ADCY5	GNG10
ADCY5	GNG11
ADCY5	GNG12
ADCY5	GNG13
ADCY5	GNG2
ADCY5	GNG3
ADCY5	GNG4
ADCY5	GNG5
ADCY5	GNG7
ADCY5	GNG8
